,1_0_1,1_0_2,1_180_1,1_180_2,2_0_1,2_0_2,2_180_1,2_180_2
CAD1_42_105,10657,9334,8095,4341,5984,10134,3466,7349
CAD1_40_103,13834,13297,7547,19929,8007,13455,21242,14543
CBF1_215_278,25087,19062,13582,17292,20652,33227,12640,27610
CBF1_220_283,20483,17624,9670,10085,11805,17619,18119,8393
CBF1_216_279,24692,22183,7029,5723,7459,10909,5778,12548
CIN5_232_295,12464,9735,6706,6013,6846,10591,12484,10999
CMR3_251_314,21846,15473,5888,21826,10165,16953,5956,4541
COM2_380_443,16133,14528,9606,7486,8663,13792,19203,14424
CRZ1_548_611,11389,8902,2823,7165,5041,8214,9061,1331
CRZ1_576_639,21726,18278,11438,21024,12201,17831,23553,12673
CRZ1_562_625,10482,8638,448,10733,5261,8137,2568,8668
CST6_422_485,7906,6712,12271,965,5187,9352,8897,10372
CST6_424_487,5959,6178,8579,10073,1927,2958,2118,4328
CST6_423_486,8286,6064,4255,840,3402,5731,6446,944
CTH1_186_249,10180,9568,14042,9055,7257,11705,12433,6236
CTH1_224_287,9130,6472,4282,7866,4425,6144,9,6121
CTH1_187_250,6858,6757,5713,6745,2333,4252,2827,2103
CUP2_1_64,30910,22212,7680,10407,17461,25530,15526,6026
CUP9_168_231,11884,10423,4825,4889,5925,10914,2489,7225
CUP9_164_227,8718,7224,957,10145,5061,8344,9164,11217
CUP9_160_223,18906,15812,16311,22919,10789,16924,21975,26344
DAL80_16_79,11502,10007,6657,3287,6816,9884,6982,4578
DAL80_18_81,14926,10614,905,3562,7911,9900,8177,6386
DAL80_25_88,9865,7372,10867,1666,5141,8305,3396,1295
DOT6_63_126,16667,13194,14684,6520,9104,12420,14486,9140
ECM23_120_183,17124,14630,8781,15178,7352,14590,8204,4558
ENV11_78_141,9403,8262,16720,7465,2910,5434,2082,5001
ENV11_77_140,12181,9892,14676,1603,8108,14355,1920,11394
FHL1_469_532,21481,17991,10283,39464,10604,17677,17330,15924
FHL1_307_370,10054,9212,174,2420,5272,8658,3573,960
FHL1_296_359,28377,25833,10922,18628,16282,25331,17624,8623
FHL1_472_535,26640,20863,11027,20816,17715,30147,18686,11543
FHL1_473_536,26128,22937,20180,15533,7288,10349,6074,8158
FKH1_314_377,32086,24338,26693,24319,23717,36971,29308,24481
FKH1_88_151,7947,8235,6610,2406,5078,7097,6668,4366
FKH1_78_141,17976,14966,11497,11226,8958,13022,8983,15638
FKH1_315_378,32396,25411,17548,21642,15034,26028,23752,19052
FKH1_316_379,29108,22288,13387,35900,7824,12039,12569,27520
FKH2_351_414,8934,7251,5136,9090,5321,7123,13070,4560
FKH2_97_160,21644,17621,20043,11150,10050,19368,10406,25732
FKH2_86_149,17843,16474,14229,15732,9369,14712,7133,5764
FKH2_353_416,7615,5447,11,5316,3647,6560,2014,1037
FZF1_1_64,8722,8487,3738,2250,7401,10238,3547,1575
FZF1_52_115,15965,14145,21027,9250,5745,8181,4316,20638
FZF1_22_85,2940,2050,34,211,1934,2651,2811,161
FZF1_51_114,18723,15008,13861,16232,14357,23026,26072,13675
FZF1_135_198,28032,20384,22552,22672,14641,23790,19072,18063
FZF1_228_291,22678,17528,16653,12487,12725,21152,16198,24111
FZF1_16_79,5731,4177,3954,122,3488,5192,2235,113
FZF1_45_108,7282,6320,6643,10818,4501,7002,3868,3858
GAT1_295_358,12400,9885,2613,1929,8278,12618,13664,832
GAT1_40_103,32789,29614,25486,21800,17295,27960,29782,13079
GAT1_297_360,18494,14833,5705,6677,12026,16828,6423,2298
GAT1_300_363,22932,17236,5947,5545,13132,17731,6334,4942
GAT3_56_119,11599,9817,7259,4189,5104,9076,13991,4163
GAT3_62_125,13901,12472,5371,2162,4553,6445,2343,7246
GAT3_61_124,18007,12877,15499,12903,10547,20960,8319,9886
GAT4_46_109,13727,12072,7276,5844,6688,11759,1085,5270
GCN4_218_281,19863,17304,12531,12202,11783,19212,28674,3687
GCR1_643_706,14417,11383,7540,2348,6269,10913,3164,4289
GIS1_827_890,8840,7949,9037,1265,3992,6193,1438,1132
GLN3_291_354,20215,18191,7133,8777,9964,16793,22336,9391
GLN3_293_356,22519,19480,27675,8367,10220,16615,16424,10329
GLN3_296_359,18330,15734,11934,12818,8735,15653,24531,22637
GTS1_181_244,9247,8168,4112,6901,8650,13990,33050,3216
GTS1_182_245,14022,11324,9661,4545,3865,5869,2435,2819
GTS1_174_237,7424,6473,942,5570,3915,6015,6809,3800
GZF3_116_179,11268,10863,3229,8568,5628,9533,5763,8720
GZF3_118_181,15169,12283,4133,14417,7527,11480,6154,4264
GZF3_123_186,8786,8259,258,7713,4641,7132,13793,6487
HAA1_1_64,15167,14925,7447,19562,9875,15312,15494,13852
HAC1_26_89,14508,12802,12832,4103,7502,12717,14246,9630
HAP2_155_218,9289,8846,3527,2365,4975,7392,7948,2720
HAP3_41_104,20323,17742,2897,11084,10907,15168,3873,6978
HAP4_41_104,30823,25226,18571,23341,15720,24726,24084,20948
HCM1_119_182,15032,11966,11444,8435,16574,23567,11952,2504
HCM1_120_183,30793,25687,8614,16611,14119,19974,10149,7349
HCM1_121_184,17247,12445,6712,13725,5033,8754,5143,16062
HEL2_53_116,12263,10004,2013,8073,6073,10222,12422,10986
HEL2_202_265,22825,18091,15106,8287,11593,20191,12205,11078
HEL2_230_293,33740,27917,29817,41533,19927,31742,40621,32560
HEL2_261_324,20608,17462,18793,28939,10965,17223,29806,16451
HEL2_51_114,11647,11304,10168,7604,6464,11185,16408,190
HMLALPHA2_130_193,10190,9233,5096,9082,4305,7752,6061,2575
HMLALPHA2_134_197,10166,8664,9131,11509,5357,9046,4739,6273
HMO1_111_174,12237,11008,13845,9241,12234,16569,28171,13675
HMO1_112_175,15516,13793,19115,10568,4367,6241,14386,13925
HMO1_107_170,13841,12715,17357,12441,8720,13002,27504,9092
HMS1_274_337,9072,7511,15362,5738,4846,7812,7767,6254
HMS1_279_342,8569,8037,5734,4396,5176,7607,1575,5551
HMS1_286_349,19837,16892,6061,18449,10382,17562,8684,8371
HMS2_26_89,23509,21755,8920,16835,6929,11645,6825,12769
HMS2_25_88,19490,15535,5493,10118,15296,25040,12904,856
HSF1_194_257,20175,17012,8161,10260,8815,12859,11092,8165
INO2_237_300,23344,18149,17095,14248,11284,16176,14234,12804
INO2_235_298,20708,15506,12687,23415,11019,17189,21897,8246
INO4_45_108,9802,7366,4,4468,4578,6713,3477,4753
ITC1_417_480,22615,18977,28937,9051,11216,17598,8922,3627
ITC1_43_106,15592,13036,8980,10118,9243,14520,11422,5012
ITC1_421_484,22918,19898,9096,12135,11492,19173,13598,27924
IXR1_364_427,20427,17467,9770,14153,12137,18308,30154,13789
IXR1_436_499,9819,8829,12115,9805,5630,9285,6546,1677
IXR1_437_500,13446,9738,18134,4708,3469,6325,3984,6338
IXR1_366_429,22409,16605,18386,9418,11576,16743,9031,18262
IXR1_435_498,8498,6091,4550,6526,6075,9823,11842,77
MAC1_1_64,23176,20446,15048,16911,11633,16855,16569,17734
MATALPHA1_81_144,26169,24807,30776,21348,12348,22584,31839,49617
MBP1_25_88,16435,14511,14137,13492,7571,13994,20639,6654
MBP1_394_457,39603,30349,28365,31149,20330,33128,24292,37228
MBP1_377_440,31129,24804,6431,12581,15218,21680,21952,10062
MBP1_413_476,23629,17052,8665,14811,13186,20078,19555,12278
MBP1_495_558,12725,10067,7282,11660,6037,7917,11485,9161
MBP1_33_96,16134,13224,4913,10718,7780,12051,7673,9154
MCM1_17_80,19174,16162,9650,20089,10113,18223,17554,13829
MCM1_14_77,13548,12032,10200,15252,7643,13254,19916,6220
MCM1_28_91,12428,10052,6864,12596,5522,9814,3060,1337
MDS3_155_218,13802,11999,10701,11958,6616,9310,9951,5687
MET28_99_162,16271,13134,11612,17493,8840,12091,16856,5838
MET28_104_167,13834,9592,9054,18509,4164,7048,9333,7800
MET28_103_166,16057,11290,7774,7888,9965,16993,17558,4908
MET31_91_154,7137,4760,1,7544,3878,6402,4478,85
MET32_94_157,17652,16687,19469,9437,10943,15244,9991,4939
MGA2_534_597,40634,31165,18016,17794,21447,31286,19004,12649
MGA2_710_773,21131,17550,9336,13117,10018,15870,19941,16303
MGA2_702_765,17567,13802,15864,8164,6988,12733,5761,7743
MGA2_735_798,26852,23073,31099,20418,14009,22961,37933,26254
MGA2_546_609,23477,19242,18812,12843,12079,20667,10716,12742
MGA2_720_783,39188,31127,32424,15976,19419,35230,41476,27935
MIG1_35_98,18303,16369,7490,3321,10965,16192,16220,13258
MIG2_14_77,13483,10148,7920,1034,8015,10591,8460,10212
MIG3_12_75,14103,11840,4122,2891,6882,11151,4152,4286
MOT2_26_89,18045,16018,10990,10360,9413,14379,3457,8885
MOT2_152_215,6734,4813,6094,624,3969,5617,5186,10571
MOT2_28_91,17224,13266,12115,7962,9058,16043,10009,22539
MOT3_340_403,19903,16274,7586,11388,9595,14684,7627,20447
MSN1_286_349,26075,21666,19581,8991,13067,21718,16824,21562
MSN2_641_704,14658,9999,5508,262,7276,10313,5235,8025
MSN4_567_630,17435,15313,12455,9358,9628,15954,17176,9217
NFI1_29_92,7058,7233,6796,1630,1798,3420,1776,7288
NFI1_326_389,32517,25900,7678,8990,16351,24742,21130,32060
NFI1_28_91,9207,8707,5352,181,5782,9717,6845,1660
NFI1_342_405,30107,23943,29521,30330,14666,22691,17647,15206
NHP6A_24_87,20531,17229,7176,9261,9904,14621,18271,9775
NHP6A_16_79,17324,12434,1967,4901,9482,14653,5283,1013
NHP6B_30_93,13230,11406,14110,155,5236,10353,4593,4407
NHP6B_23_86,13364,10444,4187,13470,5847,10403,7818,3542
NRG1_168_231,13168,10183,5448,4527,6462,9623,20830,3824
NRG2_150_213,19369,14929,17492,13767,9569,17077,13387,28806
NSI1_346_409,7863,7219,4042,3555,4424,6231,10614,4845
NSI1_275_338,9118,6861,6859,2178,4503,8289,7038,5729
NSI1_336_399,16259,13171,12693,19363,6689,13227,12283,10084
NSI1_411_474,22720,19506,16619,21644,10886,17288,11937,21974
NSI1_489_552,30665,25632,13569,22431,18784,25879,27443,17522
NSI1_324_387,13794,11658,11679,4570,5866,10147,16263,7992
OTU1_238_301,15239,13374,9394,18735,8796,13058,8950,3316
PDC2_73_136,30444,27713,28688,46279,8168,13945,9790,18678
PDC2_72_135,23330,22223,8884,25028,18064,32732,34795,12019
PHD1_199_262,31748,26505,12273,22024,19352,26593,18666,25249
PHD1_218_281,45353,34581,26797,30681,23029,34812,27624,21649
PHO2_74_137,9767,8151,2669,4959,4657,7421,2362,1728
PHO2_76_139,12060,10186,5749,2293,5399,8346,6601,5880
PHO2_68_131,16419,13314,15775,10336,9711,15089,13907,17448
PHO2_10_73,8028,7394,5216,5378,4910,8348,3174,7352
PHO4_247_310,10700,8086,156,267,9880,11296,3561,437
PHO4_249_312,10757,5987,394,428,10266,11156,2165,202
PLM2_95_158,13023,10651,7162,4919,10436,15590,13000,4485
PLM2_96_159,18825,15772,246,9781,4726,6862,6426,17044
PLM2_86_149,11098,7457,3828,12576,5999,9816,9597,13453
PMD1_126_189,25251,20613,18966,11485,12710,18657,33803,9758
PZF1_87_150,37047,31955,29107,20730,20402,32209,39825,16146
PZF1_59_122,22955,18114,16367,33001,10453,18079,21820,12753
PZF1_345_408,3322,2909,0,3303,1796,3542,7242,8718
PZF1_143_206,15337,14723,8155,6282,4241,7674,6921,6767
PZF1_30_93,21348,16271,27697,24780,11070,16597,26839,21593
PZF1_115_178,22874,18896,8269,27381,7123,11423,10711,11506
PZF1_142_205,19906,14278,8458,23332,12193,17449,17360,11320
PZF1_175_238,11325,10058,8453,7373,6586,10596,6939,9140
PZF1_201_264,16905,13521,8618,7091,8388,14952,18162,7220
PZF1_233_296,18550,14686,13841,14818,8582,15423,19361,6589
PZF1_33_96,18931,15837,10048,25105,10650,17105,33421,30136
PZF1_68_131,32202,25211,20190,11367,18997,28874,33740,17687
PZF1_114_177,15224,12620,8646,4781,16287,26835,23776,13984
PZF1_158_221,24613,18123,26720,17565,12005,18213,14884,18153
RAP1_355_418,21534,19410,17888,11418,5749,9195,6976,9096
RAP1_752_815,24679,20484,26112,20309,13000,18254,12453,7478
RAP1_136_199,10162,7552,5463,2187,5423,6576,6339,1920
RAP1_130_193,31201,23060,29232,27857,15606,24336,39655,22612
RAP1_354_417,13594,11636,11793,7863,12145,19907,11824,10646
RAP1_369_432,11950,11518,5350,13995,6327,10267,7017,5923
REB1_476_539,6311,7019,9316,3490,3775,5559,4387,5570
REB1_405_468,8406,7093,13178,4957,4155,6904,2732,2288
REB1_466_529,13744,12221,3028,13412,6944,11622,26478,2551
REB1_720_783,10706,8478,4539,5940,4637,8628,4732,10836
REB1_456_519,14762,14291,20407,8618,7524,14424,18743,7394
REB1_677_740,19202,16989,10555,10793,9897,16891,17410,19402
REI1_182_245,30311,24920,14069,19173,15286,22991,30026,23416
REI1_1_64,19437,17082,8857,15903,11433,17077,8484,20164
REI1_143_206,24093,20600,18788,18705,13663,21932,17188,19993
REI1_195_258,20703,17755,15749,11166,10765,15313,5737,14282
REI1_176_239,31011,26029,15031,27183,16291,24803,36085,21930
RFX1_289_352,32720,29079,24905,35257,17661,29784,41070,28030
RFX1_291_354,36479,30533,31140,25505,19692,31777,34079,8691
RGM1_15_78,24498,18417,6824,11042,12371,18617,19713,6537
RIM101_192_255,15054,17416,19384,18622,4971,8003,12549,8647
RIM101_127_190,6879,6222,7558,1721,3074,5017,2628,5991
RIM101_162_225,31359,22669,20281,22530,15655,24726,28646,21844
RIM101_191_254,15285,15734,7960,8282,13528,22475,25940,16212
RIM101_129_192,5083,4736,4669,7867,3131,4147,5133,1907
RIM101_184_247,18891,16887,10502,5966,9229,17477,12026,9619
RLM1_1_64,30525,25959,12425,16670,15411,24441,24081,15796
RME1_156_219,18858,14635,8448,10048,8794,14251,16596,8181
RME1_188_251,12876,10076,9633,7214,6742,11025,2191,4896
RME1_237_300,16966,15021,16748,5503,7646,14438,8396,15742
ROX1_16_79,9212,8535,6183,10631,4883,9272,10743,7473
ROX1_19_82,8927,8620,5165,3108,4244,6555,15307,4136
RPH1_702_765,14934,11524,25669,27998,7412,12357,25006,18370
RPN4_423_486,23455,19277,6137,5590,13281,20811,18974,19612
RSF2_145_208,17090,14506,8364,10775,9936,13619,8831,3449
RTG1_38_101,24283,21462,20948,22441,12517,20189,14411,23333
RTG1_24_87,21588,15612,1475,9085,10007,15573,19555,5401
RTG1_29_92,14895,11216,14050,7256,9090,12699,6286,3081
RTG3_283_346,8250,7064,6767,1999,3954,6736,2,10557
RTG3_289_352,7009,5845,6782,767,3250,5378,7913,3966
RTG3_295_358,17612,13715,16703,12130,7602,13472,14668,7051
SFL1_72_135,23988,20169,19042,11942,14435,22865,7124,10482
SFP1_606_669,22570,18415,7764,17379,13740,20078,13204,9073
SFP1_182_245,40719,31791,33681,35633,18804,33491,27986,17617
SFP1_579_642,10885,9064,9781,6348,5696,9368,8257,17546
SFP1_620_683,9183,7494,5286,6345,4125,6491,6696,1728
SIZ1_20_83,21302,19059,6527,10739,6625,11514,873,4378
SIZ1_349_412,31317,25253,20703,12888,14540,23486,22047,22993
SIZ1_19_82,20760,16792,2981,9053,17343,25381,12055,18133
SIZ1_367_430,23816,19187,21370,30812,11273,17612,34563,11030
SKO1_421_484,6874,6955,79,9178,3408,5405,6953,95
SKO1_1_64,44321,36129,17050,17364,25644,35883,22383,21455
SKO1_431_494,13783,9248,7167,7824,6523,11194,11789,14542
SKO1_423_486,7231,5920,3171,3036,2274,4572,6512,3024
SMP1_1_64,21858,22067,13494,11843,11780,20089,19268,34389
SOK2_446_509,19425,14874,11852,9372,9711,15278,12589,6540
SPT10_156_219,18753,16385,11533,7263,9336,17029,14549,13500
SPT10_338_401,20669,16776,19422,14370,9940,16461,15359,6799
SPT15_164_227,21296,20838,12913,8719,5692,10633,7812,19688
SPT15_75_138,10915,8860,6111,4648,5353,8995,8997,5647
SPT15_79_142,24754,20540,19507,13264,13327,22358,12753,19637
SPT15_163_226,18726,14526,9861,6133,14317,23605,10263,14087
SPT23_513_576,18852,15282,12298,7773,10536,14630,14757,10556
SPT23_702_765,29119,23361,22618,17579,15973,23533,26799,13174
SPT23_692_755,29060,24863,20498,22673,16744,26284,24652,24706
SPT23_725_788,22207,21586,17357,27979,13742,19405,18139,6802
SPT23_522_585,33002,27795,19078,14931,16758,28559,27330,15104
SPT23_710_773,16309,14679,6478,19199,8606,15704,19124,7074
SRD1_157_220,5795,4197,2070,91,2416,3809,5737,1879
STB3_51_114,23802,17833,7449,13315,11707,20099,11357,22077
STP1_139_202,36597,31829,35073,25318,19094,32971,25299,21787
STP1_180_243,25859,15966,4080,5962,12689,19830,8803,550
STP1_143_206,20664,16410,8104,7979,9932,15436,13075,4660
STP2_183_246,9928,8380,6748,2950,5321,9049,11079,6589
STP2_224_287,12767,12784,6130,3052,6832,10995,3179,6371
STP2_188_251,10244,10022,5559,3360,6199,11160,4654,4256
STP3_137_200,14266,12044,6336,1896,7880,10430,1988,1661
STP4_283_346,23599,19593,14991,24963,12695,19396,32016,10642
STP4_255_318,35521,28475,14480,20320,19817,30021,22329,17817
STP4_401_464,28255,25525,15214,17364,16068,26556,9819,17300
STP4_270_333,22509,18071,12367,10148,13113,22542,19785,18169
SWI4_59_122,12055,10741,9242,18660,5985,10959,11972,14991
SWI4_503_566,21114,17105,19222,17241,9406,17504,31408,10787
SWI4_624_687,16040,13886,7783,11698,7610,13337,8539,11360
SWI4_70_133,16930,15071,7644,16274,8522,14157,29800,6700
SWI5_548_611,14390,13417,8084,7312,7576,10190,10520,14790
TBF1_405_468,19241,14147,4044,12353,8941,11717,12127,9504
TBF1_407_470,19203,17536,8779,13807,10792,17035,9548,12051
TDA9_57_120,26540,20921,27548,25504,14731,20396,7965,19438
TEC1_132_195,11919,9947,13500,9221,6469,12353,14788,8342
TEC1_127_190,10074,8851,14645,5473,5197,8490,6692,17898
TIS11_151_214,24870,20452,5442,24062,15441,20783,11937,18079
TIS11_189_252,37284,28634,7421,19556,19445,28297,22279,29197
TIS11_153_216,26537,23421,23666,9496,14262,21596,15255,20443
TOD6_66_129,18116,16183,6001,4004,9393,16083,14987,11650
TOD6_386_449,23023,18681,16374,8518,11082,18927,17425,16793
TOD6_69_132,24676,20768,9372,22519,13370,19331,20220,12428
TOS4_111_174,23599,18772,11501,7674,19300,28704,15761,14451
TOS4_112_175,31277,24579,8051,14096,8844,11945,6584,12244
TOS4_115_178,18715,15178,12219,10033,10579,14005,11667,10898
TOS8_200_263,10988,10349,1414,9676,5284,9015,15554,5249
TOS8_196_259,8872,7528,2914,3234,4752,7189,2670,9396
TOS8_186_249,18737,14666,20858,10684,9730,15423,13025,13058
TYE7_193_256,26102,22418,17939,26438,14354,20408,15754,34383
TYE7_198_261,20365,16220,9827,7118,11784,17201,15381,12957
USV1_39_102,19801,15636,12457,12290,9391,13430,8036,6491
VHR1_31_94,12010,11748,2535,10724,6303,9278,4096,3425
VHR2_37_100,10440,7691,2892,2058,5233,7945,8402,2353
YAP1_54_117,11366,10249,16088,9151,6354,9855,15897,7387
YAP1_63_126,12275,8552,6684,9864,6886,10668,9127,2231
YAP3_143_206,3824,2402,453,4202,1835,2424,2,3935
YAP5_57_120,5793,4799,5222,1611,3268,4087,4605,2972
YAP6_217_280,9236,7119,8002,1196,3976,7150,1521,5416
YAP7_125_188,6433,5480,4365,4243,1962,2641,2170,63
YAP7_26_89,10594,8795,693,1351,5225,7780,884,4757
YAP7_124_187,7109,5260,5309,9477,3518,5767,4070,78
YAP7_123_186,8721,6608,27,7001,5611,8556,2131,3648
YHP1_170_233,10469,7766,6622,548,5609,8917,4228,6098
YHP1_172_235,15381,12865,11439,15416,7223,13372,10079,3941
YOX1_173_236,12562,9590,10060,4892,3692,5128,8475,3658
YOX1_175_238,7411,6612,2730,4155,4514,6777,6727,3977
YOX1_172_235,17496,15614,5402,13641,13864,22322,52854,9627
YPL216W_369_432,33160,30054,14251,28158,15993,24443,28195,17114
YPL216W_44_107,20150,16130,7953,16069,9375,17255,15978,10856
YPL216W_373_436,14697,13009,5104,4906,7094,12128,5257,4772
ZAP1_688_751,22356,16080,9990,7871,10131,15387,11334,7389
ZAP1_598_661,21939,17324,10792,13946,5889,10303,9694,19204
ZAP1_747_810,10105,8604,7298,3418,5198,8380,6562,2313
ZAP1_775_838,19189,14331,16846,7362,9608,15348,20104,7688
ZAP1_804_867,13284,10922,7086,2125,3298,5669,5303,9264
ZAP1_560_623,10922,9173,12560,7743,6510,11293,4401,9200
ZAP1_597_660,28774,22357,7909,8698,21013,30711,21114,6611
ZAP1_686_749,29155,29375,11192,19704,17922,28081,16049,17208
ZAP1_718_781,22269,16334,11159,10775,8622,13294,13474,9656
ZAP1_803_866,15365,11953,9758,4474,10414,18376,28094,19544
ZAP1_734_797,21877,18433,13867,20602,10664,20527,14891,15423
ZAP1_773_836,16124,14062,9847,10611,8068,13881,10354,3999
