,1_1_1,1_1_2,1_2_1,1_2_2,1_3_1,1_3_2,1_4_1,1_4_2,1_5_1,1_5_2,1_6_1,1_6_2,1_7_1,1_7_2,1_8_1,1_8_2
CRZ1_562_625,3,3,2,2,2,1,4776,2,2,6,9237,1486,12,2,4,19
CST6_422_485,1,0,0,0,3,1,84,3,1,0,3871,1,7,4939,1,1
CST6_424_487,0,9,5,0,0,5,4,2,3,4,3,0,7587,3,3715,3
CST6_423_486,0,11,10,0,0,2,104,1,0,1,1,1,1679,1,3666,1
CTH1_186_249,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,307
CTH1_224_287,0,1,1,1,0,1847,1930,1,0,0,1,0,1,1,1,0
CTH1_187_250,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
CUP2_1_64,7947,30901,34556,7155,18031,8547,6092,8332,1682,13,20,13,36,17,12,26
CUP9_168_231,0,0,0,0,1,0,0,0,0,1,1654,2,13,0,0,1
CUP9_164_227,0,37,0,0,2,0,4,0,1,0,0,0,531,0,0,0
CUP9_160_223,3,2,5076,31,211,2488,1815,1,100,1460,724,2447,1749,1,0,1
DAL80_16_79,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0
DAL80_18_81,0,0,2,0,0,0,2,0,0,0,5,0,0,0,0,0
DAL80_25_88,0,0,2,0,1,0,0,0,0,0,4,0,0,1,0,0
DOT6_63_126,13,6384,8640,4285,590,1688,107,2552,1421,1773,373,166,11,13,2,2
ECM23_120_183,7,8,213,297,604,1107,1639,28,5684,3178,2577,357,4,1,2,0
ENV11_78_141,1,1,0,1,1,417,1,9,2038,3,6,1266,65,5,925,0
ENV11_77_140,3,1,25,3,12,38,8030,7048,17,2570,4165,2668,4,911,1056,5
FHL1_469_532,15,4870,12,3821,5348,12726,5707,4659,8945,1287,1757,10,1481,11,17,14
FHL1_307_370,0,1,1,1,0,0,1,1141,0,2,0,0,1,0,5047,0
FHL1_296_359,9,2919,2863,8,5488,16436,8476,15095,5678,5654,13640,9024,8,18541,16,33
FHL1_472_535,25,152,48,18,24,38,30,65,15991,2239,6628,11368,41423,65413,57243,75633
FHL1_473_536,700,30,17,10,20,20,5,19,3754,868,20192,11643,29807,29524,6374,12132
FKH1_314_377,2440,14376,365,1406,2994,3783,1284,852,5,447,5,1181,6,7,4,5
FKH1_88_151,0,0,647,0,0,0,0,0,0,12,2,1133,0,0,2,0
FKH1_78_141,3,2,6,0,11,3,3,2,2,1,7,1218,103,6857,5880,2
FKH1_315_378,16467,12345,21643,6791,912,3451,1454,2376,2400,104,12,1194,8,11,18,12
FKH1_316_379,2880,560,237,5908,546,111,2165,913,1,92,1,2,6,2,4,9
FKH2_351_414,0,0,1,0,0,0,0,0,0,0,0,0,0,35,0,0
FKH2_97_160,5,10,14738,6,7,8,1186,15106,3643,10,2784,8261,66,118,5,6
FKH2_86_149,3,20,16,18,4,2,11,10827,2,1927,7,6778,12357,2,7,6
FKH2_353_416,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
FZF1_1_64,1057,348,607,110,6,16,383,112,1,0,0,0,1,0,2,0
FZF1_52_115,84,10209,10553,980,1908,4474,1352,1837,9102,443,2463,3397,19,33,7,11
FZF1_22_85,0,0,0,0,1,0,0,0,0,0,33,0,0,0,0,0
FZF1_51_114,2763,16825,28,3459,2469,3647,7565,11857,2723,1206,4918,5993,17,12,20,16
FZF1_135_198,11700,9183,7204,1201,4444,2081,12692,11965,9,342,12,13,12,12,12,15
FZF1_228_291,3,2,2,1278,3,3,6521,2,10,2812,8207,2,5,2,1,2
FZF1_16_79,23,44,0,0,0,0,2,714,32,0,0,6,0,0,0,0
FZF1_45_108,3,11,0,0,2,1,1,3,4253,3,2300,56,0,1,2,0
GAT1_295_358,0,0,2957,0,0,0,1,2,1,2,0,1,1,1,0,1
GAT1_40_103,23995,39182,46308,12291,11371,23315,9918,19929,7239,3329,17,15,36,43,28,27
GAT1_297_360,6,9,20392,2506,4150,8671,11505,17516,2289,2331,8871,2073,197,12,12,9
GAT1_300_363,6,29,7,8,6,146,48,11,9,27,9783,2896,43258,666,12,1183
GAT3_56_119,0,0,1,0,0,0,0,0,4,0,0,0,13,0,0,2
GAT3_62_125,2,4,4,0,1,0,0,0,1,1,0,0,1956,0,0,8
GAT3_61_124,2,10,6,3,4,4,2,602,3,7,608,11,7,1136,1,27861
GAT4_46_109,0,2,5426,0,3528,0,0,3,3,0,1,5,2,1,3,1
GCN4_218_281,289,14690,3653,6084,2285,4955,3198,7364,1793,4,7,7,7,6,6,7
GCR1_643_706,0,0,3,0,115,0,0,1014,0,0,0,0,0,0,0,0
GIS1_827_890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLN3_291_354,3824,83,9202,3821,7579,169,18175,6428,820,6986,10750,6735,5350,16,21,23
GLN3_293_356,866,26,142,1170,4,2874,826,568,3640,446,2958,3446,1236,585,9,5
GLN3_296_359,7863,16,26,5,18,16,1100,26,24,12,16090,10737,4248,13640,17594,26184
GTS1_181_244,0,68,0,1,3874,2886,4,730,0,1,0,0,0,1,0,0
GTS1_182_245,2,2,1,0,4499,3439,0,2,2920,4,2,1,4,3,1,4
GTS1_174_237,0,0,10,0,3,0,0,0,0,0,0,0,0,0,0,0
GZF3_116_179,2,0,1185,0,1,1,3,2436,2,1,2,2,1,1,1,2
GZF3_118_181,1,59,6,5,2,6,5783,7,19436,3,5291,96,5,5,11,12
GZF3_123_186,2,0,1,0,2785,0,0,1,0,0,4,1,0,0,0,1
HAA1_1_64,9798,10979,8325,1251,7,3,14,221,17,5,6,4,3,10,0,5
HAC1_26_89,2,12,4,3,2,2,2,8,3033,749,3400,7203,24,2,4,10
HAP2_155_218,4,0,1,13,0,0,0,0,0,0,0,0,0,12,0,0
HAP3_41_104,1,6,2,0,8,6,14,10,6213,4,7122,6961,4,4,3,3
HAP4_41_104,25718,5534,23554,7168,2731,18970,6173,1973,4100,6356,2770,10,17,13,13,10
HCM1_119_182,10,74,26,12,32,17,23,27,20,25,8446,19816,23621,2705,44776,9088
HCM1_120_183,26,53,35,39,25,5519,23,14968,3612,39,35714,16924,42960,48005,18925,53557
HCM1_121_184,3,0,4,3,4,5,4,26,5,6,6,233,544,14809,4,27613
HEL2_53_116,0,0,0,0,0,0,0,0,1,0,890,1,0,1,0,0
HEL2_202_265,3208,3236,5908,5679,3373,3886,3373,3112,5,6,5,6,3,4,5,4
HEL2_230_293,1374,1411,780,92,3748,3887,5760,7216,5815,556,7959,4430,12274,2833,14,7
HEL2_261_324,57,22,1707,301,452,1662,1241,0,852,4,4,1,1,0,4,2
HEL2_51_114,0,0,3,0,1,0,0,1,489,0,0,70,1,0,0,0
HMLALPHA2_130_193,0,0,0,0,4,316,0,0,0,2,0,0,0,0,1,0
HMLALPHA2_134_197,1,8,0,0,1,2,747,708,86,1328,2,604,1,3,1,0
HMO1_111_174,16827,15765,18711,1718,3754,4021,1449,7,16,17,732,6,9,8,9,9
HMO1_112_175,5571,3778,5842,4628,3188,2670,668,43,2,9,6,1,5,5,4,11
HMO1_107_170,6329,5906,10396,4420,3535,2552,5469,4688,13,6,9,5,3,5,5,7
HMS1_274_337,0,0,1,0,1105,0,1,0,3,424,0,0,0,1,0,0
HMS1_279_342,0,0,0,2,3,1,1,1,1,2,2,1,2,1,6699,1
HMS1_286_349,1233,4,10763,1320,9,17908,10288,3695,15115,1050,3525,4337,1519,1452,2465,10
HMS2_26_89,4,8,11,9,4,5,63,5,3,9,1428,14,4,13,12061,18924
HMS2_25_88,0,17,3,1,4,6,62,5,2,9,4,16,3103,2110,16802,7392
HSF1_194_257,6,6,8,4,3,10,2212,11684,537,3,29,212,8,9,6,20763
INO2_237_300,3259,8,242,118,6,4239,4821,9340,2978,6535,14310,4931,6257,7114,10,11
INO2_235_298,581,3381,10344,17849,6359,2930,9603,8596,1564,629,17,36,10,20,14,12
INO4_45_108,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0
ITC1_417_480,3,1,16,8,5,66,1961,8,382,5,7,937,3356,4966,672,27977
ITC1_43_106,4,5,8,1,3,3060,1,3,2,1,328,0,1398,2410,2219,15061
ITC1_421_484,10,91,13,7,8,15,12,17,17,988,21,1591,51180,18944,14,9779
IXR1_364_427,12,20,12628,3331,6,1831,9250,9130,5437,196,2637,11276,11,7,11,14
IXR1_436_499,1,0,340,1,50,1,2257,0,1,1728,1,443,0,922,0,0
IXR1_437_500,7,1,179,31,39,2538,1913,1,1616,1065,1616,432,0,2,1,4
IXR1_366_429,16,1775,12,24,2904,3819,21210,3324,4463,3201,8742,3067,15,1861,14,12
IXR1_435_498,0,0,1,0,0,1,0,1,1,714,0,0,0,1,0,0
MAC1_1_64,0,1,1016,173,0,1,0,0,727,0,1,0,0,732,0,1
MATALPHA1_81_144,2160,200,1781,1520,567,1557,4813,1760,1,745,0,2,3089,6,2,10
MBP1_25_88,2877,2753,5636,2584,2705,26,575,1120,221,660,17,4,3,5,0,2
MBP1_394_457,4722,2739,9342,5270,1029,952,3179,8088,11535,1640,1006,877,21,13,8,8
MBP1_377_440,14,3,17,120,1122,9,10569,9723,3343,2346,7,9023,3,6036,4,20
MBP1_413_476,11,8,9,6,11,7431,8,8133,5807,318,12911,5411,3081,5648,8,14583
MBP1_495_558,1,156,25,0,2,2,3,881,0,1831,4,0,1,2,0,0
MBP1_33_96,4,11,11793,3,1929,6,1,105,6557,2553,7826,9415,6,9,12,10
MCM1_17_80,14,7,9,23,1936,4150,3838,23,5301,6663,2904,1924,11984,9120,11,6
MCM1_14_77,3,3,7,5,2244,5,1067,10,35,7,826,7357,11,5813,6,16251
MCM1_28_91,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,510
MDS3_155_218,8,0,3,489,0,0,2,0,1,0,592,10,7,0,1,23
MET28_99_162,676,8,1746,2339,212,0,1398,0,28,1949,123,3,18,0,1,0
MET28_104_167,4133,1099,865,3753,2742,887,5,872,1,42,4028,0,14,1,2,2
MET28_103_166,2169,4408,126,54,7252,3634,9,812,729,4,5,1,5,10,5,1
MET31_91_154,609,42,0,0,1,0,6,0,12,0,1,0,0,0,0,0
MET32_94_157,1452,12,19,4,2041,12284,7682,1300,5921,1669,1000,1822,7601,6354,9,6
MGA2_534_597,5,16,637,4,1,5322,1,3,3,1835,1940,6389,2430,1404,1,571
MGA2_710_773,8,5,5,4750,4,2,10216,2,3595,5511,3407,107,5,8,5,11
MGA2_702_765,3,1,10,0,4,1,3,1,2,5,5,6082,3,4692,4,3
MGA2_735_798,9,12,20,432,16,2368,19,6475,2080,4025,3420,1160,6250,3167,15426,29094
MGA2_546_609,0,656,1,0,48,0,2,32,0,1,1,1093,5249,2,1,1
MGA2_720_783,1650,11353,13531,1413,4643,5955,8776,1833,8795,5871,8,3870,17,8,4,11
MIG1_35_98,11,8,5,4,4917,4706,5,6505,3495,1,5384,1699,220,1,2,5
MIG2_14_77,1937,3,14,1,1,3,6,6,8,107,4591,1854,0,18,1248,4
MIG3_12_75,6,8,8,2,2779,3157,6352,10,5962,5586,2803,11546,24,4,7,12
MOT2_26_89,8,57,11810,2857,115,5050,3681,14286,4668,2791,839,897,200,20,12,17539
MOT2_152_215,1,0,2,0,0,0,1328,0,692,0,0,48,0,0,0,0
MOT2_28_91,55480,44224,10549,15253,6247,1185,3179,43,39,24,34,3474,4643,6323,41,54
MOT3_340_403,3,21,5,4,2,3,2,8,0,1507,24,6195,7853,4252,4019,551
MSN1_286_349,4,0,545,0,13,1289,33,104,1,2025,2580,3050,1157,1,2,15
MSN2_641_704,0,0,3,1,1,1,5,4837,0,107,5,1,22,1,0,0
MSN4_567_630,12092,12218,52526,23433,31268,17759,10015,13844,8248,4967,42,39,65,43,27,38
NFI1_29_92,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
NFI1_326_389,6,3,66,0,988,3791,55,1553,12186,55,4698,1581,1871,15828,5,241
NFI1_28_91,0,0,3,0,1,0,0,0,4,0,0,0,0,0,0,0
NFI1_342_405,31,13,17,929,15,3910,4,7328,14576,6847,3157,6405,8833,5594,8,6
NHP6A_24_87,7,19,13,2,3310,8,47,12020,22690,8972,1086,61,9,6617,10,7
NHP6A_16_79,4,1273,12,4,10247,6095,18405,9630,4980,1272,9,9,13,14,10,6
NHP6B_30_93,0,1,8,859,0,0,0,0,0,0,19,0,0,0,0,1
NHP6B_23_86,2,406,0,1,2690,0,3650,0,1,0,0,2,1,2,1,3
NRG1_168_231,1953,2384,11,1096,5,1,4,32157,5446,108,4566,13,20,7,3327,15
NRG2_150_213,10547,11175,34817,29030,42786,23736,11303,23145,13796,3691,1515,338,54,57,3335,60
NSI1_346_409,0,0,1,838,0,0,0,1,0,1,0,0,0,1,1,0
NSI1_275_338,0,0,1,0,0,0,0,0,2,0,0,0,1649,0,8,0
NSI1_336_399,1452,15,7699,60,12639,1721,1942,11,1482,227,5,4934,7,5,6,7
NSI1_411_474,979,1921,2104,0,2,409,9,1,3,0,3,1,1,1,3,2
NSI1_489_552,5,12,819,1869,671,1828,9,3253,43,3441,16041,9539,10131,23120,6719,2158
NSI1_324_387,0,0,1102,0,44,1,0,2,1,0,0,1,1149,1,0,1
OTU1_238_301,3,2,1,0,1,3,15,2,4,5481,2,1497,1,5,0,6
PDC2_73_136,8,11,884,19,16,1903,9065,2218,2786,1015,18874,8004,17805,31021,18,16040
PDC2_72_135,14,5537,24,1259,8,22,10579,1108,2923,5454,4225,27176,20868,1798,27,11216
PHD1_199_262,346,6,2336,5114,3585,1164,9950,9019,1805,827,4516,3082,4874,21679,14,13
PHD1_218_281,11,16,19578,12,16245,11423,3140,15321,8553,3501,14119,2365,2188,23,20,26
PHO2_74_137,0,2,0,151,0,2,2,870,1,2164,0,1,1,0,1,3
PHO2_76_139,2,0,5,0,3,3079,3,5795,2215,1054,0,4,3,1,1,1
PHO2_68_131,35318,23478,6116,5128,8873,4691,2095,1293,6594,15,10,5064,12,19,13,28
PHO2_10_73,4,2,24416,0,12,1750,3801,4,4,467,274,1,2,4,1,6
PHO4_247_310,1,0,4,1,3,3,8050,0,602,0,2,544,7,2,0,0
PHO4_249_312,1,0,1,1,6486,1779,7,4,13,17,2,0,1354,1,1,0
PLM2_95_158,0,1,0,0,3,52,0,0,0,618,2,2680,1109,0,333,0
PLM2_96_159,0,2,6,2997,4,1,1,2,6,713,1081,2949,2286,4409,420,4
PLM2_86_149,0,0,0,0,3,0,4,0,0,0,3,0,0,0,0,0
PMD1_126_189,1,2,9,362,1513,1302,1,5547,3,2,5643,1362,1400,2,4,3
PZF1_87_150,27,42,40,20,15537,1219,3541,11049,11575,6791,29863,10722,11631,43720,29,11300
PZF1_59_122,275,5,1610,2,700,5,2274,0,4,7731,9,1232,3,4,2,3
PZF1_345_408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PZF1_143_206,7,1,3339,2,10,461,1,473,1,3,3,1726,2887,1,1,2
PZF1_30_93,21161,30644,15010,4577,3024,8724,35,14678,19,22,66,11,20,23,17,25
PZF1_115_178,2294,1716,5,12,1454,6113,1525,964,6062,2,7910,591,239,9,3,4
PZF1_142_205,6841,9,15,535,16,6,23,4296,3397,1,7834,3221,13,2848,14,2145
PZF1_175_238,9,23,15,4,10,7,4,8,7670,5,5036,2579,3029,8,2,14448
PZF1_201_264,12,48,5,0,2,3,0,1,14,140,8,3,13972,2,2,6
PZF1_233_296,4,13,4,4,5,13558,6377,2140,1731,16,2,843,5,4,4,6
PZF1_33_96,22737,28460,10271,1845,35,1796,119,23,8,17,19,15,15,8,21,20
PZF1_68_131,1043,10575,41564,6995,8112,14117,16351,11836,6899,2999,7870,20,25,21,22,30
PZF1_114_177,3858,7741,4538,2957,3206,6,1877,2,710,3687,782,1142,6,1422,3,4
PZF1_158_221,15,290,4147,3852,3005,13412,4715,8594,8021,3567,4048,1296,12,1111,3,20
RAP1_355_418,11,12,20,1018,2636,3394,2020,10752,7037,442,15308,2296,325,28377,11,25
RAP1_752_815,17,12,10654,573,1779,1190,17318,10665,1774,7027,24466,10368,9548,4053,31,15
RAP1_136_199,12,3,47,5,9,14,23,28,0,4,4,0,0,0,0,0
RAP1_130_193,3921,1264,9228,4612,2072,6403,7089,7883,322,990,957,6,4,9,4,7
RAP1_354_417,4,6,10,2,2365,4,2268,8,3009,2665,2909,1837,2674,2,12,3
RAP1_369_432,9,20,15,7,15,6,4,941,1,5,14,5,67,7,13,35078
REB1_476_539,99,1,0,0,2203,0,10,0,0,2,4,2,1,0,0,1
REB1_405_468,0,0,1,0,0,0,0,235,3,0,0,198,1,0,0,0
REB1_466_529,5790,4364,3080,4334,3590,10301,3490,955,7,6,7,7,6,5,7,6
REB1_720_783,1,3,12,1,2615,6,1,13228,2589,12,5,4,12,2,2,2
REB1_456_519,2865,1818,1474,1008,214,4820,23,2284,0,6,3,0,2,3,1,5
REB1_677_740,14,10,4966,239,116,12354,13,2144,7715,3147,11796,8856,30,2227,8,13
REI1_182_245,3479,1832,4023,1755,4369,4772,14991,1406,4474,75,1191,155,3103,8,12,9
REI1_1_64,2619,6218,1006,770,2155,27,1,1088,0,2,2,6,2,2,1,4
REI1_143_206,1141,51,3451,278,2099,14405,402,9,625,2005,4455,2010,9758,2504,4,8
REI1_195_258,2377,14,13,668,1861,702,6,2428,14385,4433,162,4434,12,251,3,7
REI1_176_239,7,7,4162,1568,3,2711,4958,13954,3117,3464,11622,1759,6,11,11,12
RFX1_289_352,2889,40,132,412,14589,984,4342,289,3955,10,5,7,6,5,5,13
RFX1_291_354,4647,968,3892,5513,1083,1615,4588,2303,2020,1034,8,4,8,13,4,7
RGM1_15_78,20456,14700,6662,5308,16245,14986,2212,8176,874,997,422,25,51,38,19,27
RIM101_192_255,36,4231,12,7560,8058,17294,3438,2925,11612,3693,5556,10830,29,12,17,15
RIM101_127_190,0,0,0,0,0,0,0,1,0,0,311,0,0,0,0,0
RIM101_162_225,12,44,119,6,5179,5643,2624,7556,4016,7439,11904,8978,447,1168,8,17
RIM101_191_254,6239,4624,5329,3110,13856,3946,34166,24,7537,13321,4540,12065,16,24,17,17
RIM101_129_192,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
RIM101_184_247,2,9,6,4,6,59,5,17,14241,3405,10802,0,3,1777,8,7
RLM1_1_64,10803,19632,12616,13952,13330,6377,10112,7182,2560,10,20,2718,19,60,1052,19
RME1_156_219,2,8,3,0,6,353,4270,80,432,685,11332,4,7,6826,11,3202
RME1_188_251,0,2,2,0,0,5024,1,2,2,2,112,2,1,3,3,1
RME1_237_300,3357,13698,1041,4168,2820,737,7,192,4,4,696,96,16,4,3,10
ROX1_16_79,1270,2,1,0,0,0,0,3,1,1,1,1566,2555,0,1,0
ROX1_19_82,3,1,2,0,1,1,2,10614,5,18,1,2,1587,3,0,1
RPH1_702_765,10416,110,3798,5522,1899,124,100,111,5,4,2,6,8,2,5,8
RPN4_423_486,19,52,27,2688,8104,13,11672,9861,9118,9373,9504,22951,12832,9239,16,8
RSF2_145_208,0,2,0,4916,2,1738,2,786,2,255,51,0,1298,2,1,1
RTG1_38_101,2442,30,21692,6832,12833,17335,5264,4551,4810,6715,21,1653,31,14,14,11
RTG1_24_87,0,0,2,1,647,0,0,0,7,0,2,779,0,0,0,0
RTG1_29_92,1,0,0,53,1,557,0,0,0,0,0,0,0,1,0,0
RTG3_283_346,0,13,0,0,1,0,4,0,291,0,133,0,0,0,0,0
RTG3_289_352,0,0,0,0,284,0,3,0,0,0,0,0,0,0,0,0
RTG3_295_358,2460,5587,16,3,4156,2477,4208,9,5488,2526,9802,3053,2033,5,8,6
SFL1_72_135,14,72,20,29,192,47,2191,39,11160,21,51289,9177,61153,18520,2420,15
SFP1_606_669,19,2261,4188,3943,9222,11281,21756,14095,5348,1643,2103,7,36,37,9,19
SFP1_182_245,14005,15632,7598,5037,13761,11167,11474,14417,3500,1621,288,21,19,24,23,21
SFP1_579_642,4,13,9,4,2,187,4,16974,7446,2194,0,10,1075,8,6,9
SFP1_620_683,0,0,1,1,0,0,0,0,0,0,14,0,33,0,0,0
SIZ1_20_83,3,6,9,6,464,7,6,10,4,4,4134,4134,4452,15439,13,37912
SIZ1_349_412,2151,4,5412,12316,6791,4878,4975,1276,3251,1598,2874,7,10,4705,8,18
SIZ1_19_82,11,74,6,6,422,6,11,75,12,2528,67,3928,47560,6617,115,13026
SIZ1_367_430,0,912,0,480,752,2,542,0,0,411,0,0,14,1,0,3
SKO1_421_484,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
SKO1_1_64,25172,46120,31532,13127,6126,22585,10218,13410,36,20,25,59,41,27,33,43
SKO1_431_494,2,4,9,4,3,2,1663,3,3362,3337,2263,3,100,1,1,1847
SKO1_423_486,0,0,2,0,0,0,63,0,0,0,9,0,0,0,0,0
SMP1_1_64,7098,8398,36543,11170,9532,10616,4848,4887,3874,1811,3408,968,18,22,16,29
SOK2_446_509,4,2,6,0,0,3,801,4,5557,1,1397,4744,2617,2,2,5
SPT10_156_219,2,0,1,0,404,390,51,3540,606,0,1,1,2259,0,0,1
SPT10_338_401,10,2465,9555,1130,535,6,5550,2417,148,4196,5066,1930,4,710,5,8
SPT15_164_227,8,8,10,3,2,4,0,40,7,3,91,0,7923,3715,7909,15
SPT15_75_138,0,0,0,0,838,3,2,11,2,1,2,1,1,0,0,2
SPT15_79_142,16,24,14,5521,8687,2988,8407,13880,18637,3949,24364,14313,43,19,20,15
SPT15_163_226,7,5,14,5,9,3,7,23,1,1263,11112,8,74,1661,13204,6
SPT23_513_576,1,0,6,0,3,0,3,1,1,1,17217,8,16,1,3,4
SPT23_702_765,28,100,42,38,4124,2095,16,32,31,45,9742,42,14394,47888,50636,32285
SPT23_692_755,20,48,36,24,16,1908,13441,5747,7019,6225,18892,19981,12495,7102,7236,53233
SPT23_725_788,26,142,19,19,23,30,20,2356,27,32,24929,1233,63013,6795,6942,73811
SPT23_522_585,14,39,2963,19419,7511,5552,7713,10473,13159,2936,12903,17660,2686,17,14,21
SPT23_710_773,31,90,29,29,24,33,21,424,34,19,1121,1038,18397,8643,60817,70647
SRD1_157_220,0,14,0,0,1,0,678,0,0,0,1,0,0,1,0,0
STB3_51_114,951,27,4238,5148,4264,1453,2484,489,1973,1353,641,1448,3,7,5,12
STP1_139_202,9443,8040,28342,5171,7912,15729,325,9370,16757,1724,6493,118,11,15,10,417
STP1_180_243,0,27,0,0,2,0,0,1,2218,3,1096,2,3934,2869,2,20
STP1_143_206,6,25,1,1,1,9395,1,4,2,3,1323,31,2,1980,2,1
STP2_183_246,1,1,96,0,2,0,0,1,0,9,0,2003,0,1,0,0
STP2_224_287,637,5,9,0,0,1,16,1,4,1,1,1,0,3779,1,5
STP2_188_251,1,1,3234,1,0,0,373,11,2162,0,3,0,1,0,1,1
STP3_137_200,11,14158,19,1,2,2,1,3720,5862,8,136,1478,4,3,4,0
STP4_283_346,3650,435,1539,690,755,2106,2,1515,702,1,0,1,2,2,1,2
STP4_255_318,8949,11147,8596,32503,24627,24909,9473,20429,7022,4872,2459,3187,27,25,25,22
STP4_401_464,6,5,16,14,4,4614,4697,1322,3043,12,9357,22959,4738,18414,902,16
STP4_270_333,17114,19243,33011,21765,7749,8187,6086,7335,7849,2398,42,11,10,11,16,22
SWI4_59_122,1,0,635,33,14,0,2,0,0,0,5,1,0,1,0,0
SWI4_503_566,3,39,6,6,9,5,1,5,5,8,3216,2937,12408,7255,15059,5
SWI4_624_687,953,4,9,66,1,398,2345,7,3988,1,80,8042,1,3,5,5035
SWI4_70_133,4,7,3,4,900,5,3,7484,8,4680,7,5,9379,518,6,9
SWI5_548_611,1,3,2,0,2,3,414,3173,1,80,0,3932,3,2,4,0
TBF1_405_468,8,21,9,38,5,9406,1771,7,2046,3303,6131,10205,14609,13,9,10
