,1_0_1,1_180_1,1_60_2,2_0_2,2_180_2,2_60_1
ACE2_364_427,9,70,7,186,260,70
ACE2_375_438,21,200,204,332,522,257
ACE2_386_449,18,258,364,826,777,846
ACE2_397_460,32,461,1358,310,983,708
ACE2_408_471,22,65,226,31,259,128
ACE2_419_482,90,308,550,137,669,523
ACE2_430_493,15,170,483,256,345,364
ACE2_441_504,14,282,318,306,514,470
ACE2_452_515,6,206,115,21,259,293
ACE2_463_526,27,272,235,391,811,887
ACE2_474_537,11,409,125,703,601,349
ACE2_485_548,2,138,60,240,146,236
ACE2_496_559,13,217,185,204,578,432
ACE2_507_570,11,357,292,705,625,560
ACE2_518_581,3,505,290,1034,644,499
ACE2_529_592,7,5,2,6,3,16
ACE2_540_603,1,156,207,298,382,365
ACE2_551_614,1,118,143,33,259,200
ACE2_562_625,2,170,263,713,373,402
ACE2_573_636,39,47,89,435,31,83
ACE2_584_647,95,530,700,914,1222,1045
ACE2_595_658,37,175,110,141,414,361
ACE2_606_669,32,201,95,816,290,366
ACE2_617_680,1,22,36,3,75,54
ACE2_628_691,10,69,21,159,32,52
ACE2_639_702,8,77,82,31,365,183
ACE2_650_713,8,171,40,117,144,217
ACE2_661_724,3,139,48,433,314,233
ACE2_672_735,11,31,34,199,41,121
ACE2_683_746,0,59,119,182,405,165
ACE2_694_757,29,451,445,971,588,568
ACE2_705_768,1,212,150,147,253,370
ACE2_707_770,22,245,328,1096,302,352
ADR1_1_64,9,97,25,211,191,183
ADR1_12_75,5,149,57,295,145,132
ADR1_23_86,1,12,5,67,50,67
ADR1_34_97,0,30,35,163,122,97
ADR1_45_108,4,84,62,5,134,102
ADR1_56_119,0,1,2,0,30,0
ADR1_67_130,3,11,1,9,44,32
ADR1_78_141,17,226,238,156,269,229
ADR1_89_152,16,103,111,463,262,168
ADR1_100_163,7764,24,33,45,75,43
ADR1_111_174,6,41,20,9,104,55
ADR1_122_185,3,77,108,315,318,215
ADR1_133_196,8,118,28,450,133,55
ADR1_144_207,21,162,97,145,679,293
ADR1_155_218,4,71,23,80,179,135
ADR1_166_229,1,47,34,202,32,129
ADR1_177_240,11,163,40,159,491,108
ADR1_188_251,18,130,118,13,307,194
ADR1_199_262,5,241,80,706,340,369
ADR1_210_273,9,222,129,400,325,389
ADR1_221_284,7,313,328,608,614,300
ADR1_232_295,27,724,233,1840,1455,858
ADR1_243_306,11,368,108,1286,878,676
ADR1_254_317,18,334,428,816,611,263
ADR1_265_328,2,118,8,96,94,83
ADR1_276_339,4,160,26,372,183,144
ADR1_287_350,0,106,5,207,129,127
ADR1_298_361,6,120,42,405,390,354
ADR1_309_372,34,592,248,1021,1408,1026
ADR1_320_383,31,35,66,5,227,49
ADR1_331_394,2,165,69,6,230,249
ADR1_342_405,6,91,10,3,180,125
ADR1_353_416,4,4,5,16,6,14
ADR1_364_427,14,96,12,20,84,120
ADR1_375_438,105,412,57,694,444,421
ADR1_386_449,13,134,62,398,288,242
ADR1_397_460,0,164,20,2,404,188
ADR1_408_471,3,71,21,95,144,182
ADR1_419_482,7,15,11,6,19,19
ADR1_430_493,9,55,71,6,295,263
ADR1_441_504,14,220,15,274,273,295
ADR1_452_515,2,358,169,157,250,283
ADR1_463_526,1,322,15,496,559,450
ADR1_474_537,4,127,16,94,484,213
ADR1_485_548,2,0,51,0,101,122
ADR1_496_559,3,65,73,14,114,124
ADR1_507_570,4,123,46,156,457,306
ADR1_518_581,9,130,32,451,528,171
ADR1_529_592,15,231,83,382,261,242
ADR1_540_603,5,171,64,409,308,295
ADR1_551_614,4,458,78,420,792,595
ADR1_562_625,106,18,62,164,252,188
ADR1_573_636,14,154,118,76,289,310
ADR1_584_647,14,191,44,214,636,548
ADR1_595_658,9,293,56,209,207,62
ADR1_606_669,25,462,115,760,952,483
ADR1_617_680,38,766,91,830,1180,866
ADR1_628_691,8,202,200,370,462,453
ADR1_639_702,17,356,34,397,549,324
ADR1_650_713,12,240,299,488,458,315
ADR1_661_724,6,90,109,274,248,222
ADR1_672_735,4,132,148,17,207,113
ADR1_683_746,9,576,78,803,781,385
ADR1_694_757,4,146,25,104,152,55
ADR1_705_768,4,310,200,776,807,291
ADR1_716_779,6,412,55,705,919,513
ADR1_727_790,11,796,56,868,1242,731
ADR1_738_801,4,210,19,222,286,169
ADR1_749_812,47,167,72,234,334,147
ADR1_760_823,15,32,40,125,187,139
ADR1_771_834,33,749,236,943,1317,722
ADR1_782_845,13,535,145,441,1325,735
ADR1_793_856,37,517,122,933,852,542
ADR1_804_867,19,537,51,1444,1047,693
ADR1_815_878,5,670,65,992,944,613
ADR1_826_889,6,320,185,220,959,531
ADR1_837_900,5,187,16,175,412,98
ADR1_848_911,8,129,7,42,163,148
ADR1_859_922,4,106,20,335,291,206
ADR1_870_933,0,53,0,4,33,45
ADR1_881_944,0,5,2,83,27,43
ADR1_892_955,1,63,6,83,87,47
ADR1_903_966,0,93,24,11,11,0
ADR1_914_977,11,68,3,75,49,55
ADR1_925_988,1,6,0,8,0,1
ADR1_936_999,2,2,5,16,33,2
ADR1_947_1010,0,104,3,0,91,64
ADR1_958_1021,9,262,23,70,227,228
ADR1_969_1032,6,6,3,7,131,16
ADR1_980_1043,1,57,8,93,119,57
ADR1_991_1054,3,362,27,665,944,362
ADR1_1002_1065,8,282,20,896,170,396
ADR1_1013_1076,0,111,8,276,129,133
ADR1_1024_1087,11,357,154,472,633,370
ADR1_1035_1098,23,330,44,353,642,455
ADR1_1046_1109,11,296,47,563,921,508
ADR1_1057_1120,62,317,20,648,413,339
ADR1_1068_1131,15,319,40,279,815,455
ADR1_1079_1142,3,311,26,517,404,290
ADR1_1090_1153,7,346,6,359,757,594
ADR1_1101_1164,5,195,11,334,461,271
ADR1_1112_1175,4,89,17,316,417,293
ADR1_1123_1186,11,198,11,502,501,266
ADR1_1134_1197,1,27,25,0,26,310
ADR1_1145_1208,6,15,9,214,174,161
ADR1_1156_1219,3,20,14,19,32,14
ADR1_1167_1230,1,118,11,4,116,133
ADR1_1178_1241,17,120,5,130,262,66
ADR1_1189_1252,4,170,35,306,459,162
ADR1_1200_1263,10,340,153,874,627,453
ADR1_1211_1274,21,153,77,399,343,273
ADR1_1222_1285,13,589,166,1416,852,532
ADR1_1233_1296,9,238,270,891,454,272
ADR1_1244_1307,4,198,39,300,277,81
ADR1_1255_1318,1,7,2,11,0,14
ADR1_1260_1323,5,62,4,4,31,80
AFT1_1_64,16,220,246,181,569,569
AFT1_12_75,35,409,478,368,907,504
AFT1_23_86,38,553,367,238,897,614
AFT1_34_97,2,125,218,98,554,220
AFT1_45_108,44,1019,1379,2639,2328,1882
AFT1_56_119,10,304,167,492,421,379
AFT1_67_130,55,501,602,1225,953,618
AFT1_78_141,11,41,37,154,221,168
AFT1_89_152,9,316,98,48,448,453
AFT1_100_163,82,126,28,472,468,214
AFT1_111_174,8,309,305,322,402,172
AFT1_122_185,15,66,83,14,450,146
AFT1_133_196,3,193,297,479,622,351
AFT1_144_207,25,104,212,701,225,242
AFT1_155_218,5,1,3,2,16,14
AFT1_166_229,9,394,214,420,574,473
AFT1_177_240,0,96,137,7,212,204
AFT1_188_251,3,162,34,314,26,69
AFT1_199_262,0,0,2,6,2,3
AFT1_210_273,16,151,103,187,225,63
AFT1_221_284,2,5,2,7,1,12
AFT1_232_295,9,227,428,780,767,591
AFT1_243_306,3,227,29,192,566,501
AFT1_254_317,4,113,7,244,242,147
AFT1_265_328,48,209,227,497,596,282
AFT1_276_339,29,946,599,2211,1951,1289
AFT1_287_350,4,505,229,1004,920,696
AFT1_298_361,9,173,122,994,387,459
AFT1_309_372,466,216,235,325,539,380
AFT1_320_383,15,27,97,91,241,248
AFT1_331_394,10,6,5,10,6,6
AFT1_342_405,3,114,47,348,209,190
AFT1_353_416,7,146,106,206,290,288
AFT1_364_427,9,240,163,651,369,342
AFT1_375_438,18,569,272,692,1387,918
AFT1_386_449,14,495,117,443,690,568
AFT1_397_460,25,542,165,237,1021,614
AFT1_408_471,19,152,87,143,283,155
AFT1_419_482,14,388,136,488,794,527
AFT1_430_493,6,347,188,703,800,490
AFT1_441_504,18,636,269,1486,1450,1032
AFT1_452_515,9,397,57,250,561,567
AFT1_463_526,6,296,76,422,273,229
AFT1_474_537,10,437,78,239,540,501
AFT1_485_548,6,769,139,1135,1596,1266
AFT1_496_559,9,325,28,238,634,404
AFT1_507_570,8,351,30,151,663,603
AFT1_518_581,7,340,32,198,534,406
AFT1_529_592,19,497,115,526,834,577
AFT1_540_603,17,645,438,1600,1111,933
AFT1_551_614,12,227,192,452,524,505
AFT1_562_625,15,646,386,707,908,863
AFT1_573_636,24,432,196,258,864,378
AFT1_584_647,12,875,393,1701,1520,1142
AFT1_595_658,29,490,433,1071,1099,1078
AFT1_606_669,26,182,340,305,454,294
AFT1_617_680,21,101,288,402,226,360
AFT1_628_691,1,105,67,240,186,133
AFT1_627_690,24,225,540,683,249,254
AFT2_1_64,8,157,21,50,104,71
AFT2_12_75,2,125,22,490,366,189
AFT2_23_86,3,10,29,57,171,59
AFT2_34_97,7,115,20,5,330,173
AFT2_45_108,13,170,38,370,408,165
AFT2_56_119,19,113,27,373,297,181
AFT2_67_130,15,384,173,1366,1168,582
AFT2_78_141,9,54,126,99,273,85
AFT2_89_152,3,90,396,604,48,165
AFT2_100_163,21,184,399,611,309,150
AFT2_111_174,3,22,5,73,63,59
AFT2_122_185,0,3,7,13,3,2
AFT2_133_196,53,32,3,106,94,130
AFT2_144_207,5,276,27,178,449,268
AFT2_155_218,13,815,60,770,1548,724
AFT2_166_229,13,325,50,348,720,467
AFT2_177_240,4,78,43,124,131,339
AFT2_188_251,5,170,43,296,164,189
AFT2_199_262,12,48,35,136,200,273
AFT2_210_273,2,73,13,335,114,67
AFT2_221_284,2,99,22,115,332,134
AFT2_232_295,2,112,15,268,92,132
AFT2_243_306,3,270,82,289,457,171
AFT2_254_317,9,132,18,402,146,73
AFT2_265_328,9,74,10,312,53,81
AFT2_276_339,8,114,70,625,344,338
AFT2_287_350,15,235,383,961,391,538
AFT2_298_361,8,109,57,216,199,127
AFT2_309_372,21,153,88,881,274,154
AFT2_320_383,4,67,295,144,258,127
AFT2_331_394,0,96,231,180,171,239
AFT2_342_405,2,79,83,89,558,183
AFT2_353_416,15,329,172,400,468,294
ARG56_1_64,26,1250,294,1695,1633,1295
ARG56_12_75,35,829,187,1145,1647,833
ARG56_23_86,17,1113,605,1735,1970,1029
ARG56_34_97,13,144,66,10,279,192
ARG56_45_108,9,1,10,194,35,31
ARG56_56_119,7,54,11,4,178,89
ARG56_67_130,2,71,16,225,128,83
ARG56_78_141,8,138,46,413,458,251
ARG56_89_152,52,1158,664,1241,1994,1290
ARG56_100_163,24,256,169,761,639,429
ARG56_111_174,6,177,46,303,214,213
ARG56_122_185,7,197,43,149,252,264
ARG56_133_196,4,52,32,4,84,92
ARG56_144_207,18,199,93,611,804,152
ARG56_155_218,4,84,19,245,71,116
ARG56_166_229,0,76,17,419,37,15
ARG56_177_240,19,110,145,391,183,112
ARG56_188_251,2,80,31,7,130,64
ARG56_199_262,10,48,29,116,153,107
ARG56_210_273,78,778,755,1368,2025,795
ARG56_221_284,75,808,1221,1067,1428,1296
ARG56_232_295,16,500,1654,819,910,459
ARG56_243_306,27,7,138,1,11,90
ARG56_254_317,3,86,24,81,126,158
ARG56_265_328,12,52,4,93,68,74
ARG56_276_339,0,25,5,4,89,22
ARG56_287_350,2,170,9,130,159,66
ARG56_298_361,6,22,5,109,25,22
ARG56_309_372,0,77,13,89,39,130
ARG56_320_383,9,80,83,581,236,192
ARG56_331_394,0,0,16,4,41,3
ARG56_342_405,2,148,29,83,72,192
ARG56_353_416,8,179,106,328,472,249
ARG56_364_427,8,266,51,269,616,450
ARG56_375_438,6,102,47,52,566,226
ARG56_386_449,7,294,32,350,406,206
ARG56_397_460,9,193,570,47,455,196
ARG56_408_471,19,377,254,756,681,474
ARG56_419_482,16,279,180,651,736,414
ARG56_430_493,6,16,4,3,29,30
ARG56_441_504,32,161,228,170,200,340
ARG56_452_515,2,91,49,215,364,308
ARG56_463_526,4,45,11,257,238,129
ARG56_474_537,1,170,24,28,411,310
ARG56_485_548,12,293,111,327,787,514
ARG56_496_559,13,479,466,373,822,555
ARG56_507_570,43,690,634,269,1231,955
ARG56_518_581,16,183,248,354,290,225
ARG56_529_592,11,17,50,3,184,68
ARG56_540_603,0,45,30,156,166,126
ARG56_551_614,0,20,21,4,36,136
ARG56_562_625,6,31,3,83,117,32
ARG56_573_636,1,40,3,1,5,11
ARG56_584_647,2,9,2,39,4,19
ARG56_595_658,14,112,129,350,258,173
ARG56_606_669,10,393,406,319,688,558
ARG56_617_680,20,797,291,914,1505,940
ARG56_628_691,12,739,155,727,736,560
ARG56_639_702,37,674,241,674,917,526
ARG56_650_713,13,265,74,158,251,139
ARG56_661_724,21,832,349,1330,2193,863
ARG56_672_735,12,329,292,505,1099,615
ARG56_683_746,23,293,128,407,779,441
ARG56_694_757,12,688,255,348,1186,825
ARG56_705_768,9,428,274,1147,761,584
ARG56_716_779,9,578,133,161,603,582
ARG56_727_790,30,604,466,1276,1225,955
ARG56_738_801,31,532,1175,703,821,268
ARG56_749_812,7,196,30,580,337,258
ARG56_760_823,8,284,23,520,608,384
ARG56_771_834,5,250,40,928,914,387
ARG56_782_845,11,200,106,313,464,332
ARG56_793_856,27,690,399,1217,1028,668
ARG56_800_863,14,233,93,254,389,232
ARG80_1_64,13,323,337,232,449,426
ARG80_12_75,14,261,610,771,864,620
ARG80_23_86,33,136,431,1424,489,274
ARG80_34_97,14,177,518,302,327,222
ARG80_45_108,16,273,654,983,453,453
ARG80_56_119,67,367,2569,1504,988,973
ARG80_67_130,88,1191,3055,839,2839,2105
ARG80_78_141,6112,387,1135,1134,613,373
ARG80_89_152,1363,381,621,1443,993,485
ARG80_100_163,26,411,474,541,643,540
ARG80_111_174,46,1008,1588,1297,2041,1450
ARG80_114_177,11,255,540,332,703,552
ARR1_1_64,0,46,16,158,84,66
ARR1_12_75,4,233,47,274,497,385
ARR1_23_86,6,82,128,165,358,183
ARR1_34_97,0,47,6,7,38,79
ARR1_45_108,5,118,33,592,260,238
ARR1_56_119,6,120,42,94,391,336
ARR1_67_130,51,720,641,1273,2272,1084
ARR1_78_141,43,1330,1675,1597,4054,2104
ARR1_89_152,19,342,547,698,521,608
ARR1_100_163,14,606,144,681,913,700
ARR1_111_174,15,331,169,1497,817,522
ARR1_122_185,28,816,534,1444,1510,884
ARR1_133_196,26,431,439,973,1276,871
ARR1_144_207,8,213,89,392,531,380
ARR1_155_218,5,188,59,424,706,339
ARR1_166_229,5,331,95,123,691,298
ARR1_177_240,6,337,165,118,490,381
ARR1_188_251,4,291,62,479,285,208
ARR1_199_262,0,3,6,3,3,8
ARR1_210_273,4,223,328,346,564,177
ARR1_221_284,105,250,112,490,488,142
ARR1_232_295,2,283,25,597,654,308
ARR1_231_294,9,28,32,183,311,166
ASG1_1_64,0,43,9,82,47,118
ASG1_12_75,2,17,19,275,39,40
ASG1_23_86,4,296,57,529,579,258
ASG1_34_97,6,637,48,723,973,635
ASG1_45_108,10,56,36,81,222,218
ASG1_56_119,14,197,79,85,342,339
ASG1_67_130,12,283,166,313,364,177
ASG1_78_141,1,83,23,37,174,92
ASG1_89_152,6,242,90,867,384,421
ASG1_100_163,7,522,91,455,804,371
ASG1_111_174,5,94,40,595,102,130
ASG1_122_185,13,306,84,836,561,638
ASG1_133_196,7,329,47,383,449,406
ASG1_144_207,13,432,52,1281,1118,441
ASG1_155_218,8,234,46,696,576,312
ASG1_166_229,1,174,51,464,274,170
ASG1_177_240,2,117,94,215,194,208
ASG1_188_251,6,153,39,150,291,260
ASG1_199_262,8,114,46,53,141,111
ASG1_210_273,18,300,83,382,886,452
ASG1_221_284,21,271,36,1191,398,457
ASG1_232_295,6,384,56,1266,991,594
ASG1_243_306,29,400,439,466,1241,518
ASG1_254_317,11,866,647,1062,2112,1275
ASG1_265_328,36,712,409,1348,1720,813
ASG1_276_339,34,731,319,1340,1563,704
ASG1_287_350,49,781,477,1349,1238,770
ASG1_298_361,11,245,69,237,355,352
ASG1_309_372,10,473,91,422,834,350
ASG1_320_383,5,236,79,291,440,254
ASG1_331_394,6,50,20,8,100,131
ASG1_342_405,3,392,34,147,858,449
ASG1_353_416,11,92,43,199,401,299
ASG1_364_427,4,191,53,417,659,305
ASG1_375_438,15,905,187,785,1468,972
ASG1_386_449,1,162,33,419,392,365
ASG1_397_460,10,226,84,468,965,543
ASG1_408_471,11,305,213,1385,905,478
ASG1_419_482,31,617,202,1617,1498,1034
ASG1_430_493,12,352,75,376,315,437
ASG1_441_504,1,131,104,212,118,94
ASG1_452_515,1,28,5,214,106,104
ASG1_463_526,4,52,1,85,109,127
ASG1_474_537,12,272,10,444,475,276
ASG1_485_548,0,335,66,304,375,252
ASG1_496_559,4,139,33,144,423,332
ASG1_507_570,5,176,215,481,386,328
ASG1_518_581,2,177,7,97,249,123
ASG1_529_592,4,176,26,767,298,228
ASG1_540_603,23,726,72,1592,1743,927
ASG1_551_614,12,17,38,107,356,227
ASG1_562_625,6,215,6,200,333,147
ASG1_573_636,5,428,25,1302,725,563
ASG1_584_647,5,77,11,9,76,91
ASG1_595_658,0,176,20,182,95,173
ASG1_606_669,0,111,13,263,202,112
ASG1_617_680,7,152,9,75,103,70
ASG1_628_691,14,46,19,149,227,97
ASG1_639_702,1,4,5,237,181,57
ASG1_650_713,7,324,10,275,604,413
ASG1_661_724,1,292,133,371,547,378
ASG1_672_735,22,572,300,1233,711,813
ASG1_683_746,16,282,102,593,643,417
ASG1_694_757,6,57,49,224,104,152
ASG1_705_768,8,2,18,245,38,28
ASG1_716_779,4,11,10,19,79,38
ASG1_727_790,3,57,8,188,181,141
ASG1_738_801,8,85,16,191,278,86
ASG1_749_812,10,212,89,143,208,177
ASG1_760_823,3,199,17,194,337,203
ASG1_771_834,19,366,256,393,905,347
ASG1_782_845,3,118,12,302,298,180
ASG1_793_856,20,89,125,15,210,360
ASG1_804_867,0,0,0,0,0,0
ASG1_815_878,1,0,0,0,0,0
ASG1_826_889,0,0,0,46,0,0
ASG1_837_900,0,4,5,0,144,9
ASG1_848_911,0,0,0,0,0,0
ASG1_859_922,0,0,0,0,0,0
ASG1_870_933,0,49,2,81,93,57
ASG1_881_944,3,30,3,92,158,135
ASG1_892_955,14,115,98,345,149,85
ASG1_901_964,10,175,28,374,176,239
ASH1_1_64,35,625,116,1175,1092,628
ASH1_12_75,11,272,37,278,662,421
ASH1_23_86,20,142,79,733,824,386
ASH1_34_97,34,255,216,1016,598,472
ASH1_45_108,31,210,70,716,336,535
ASH1_56_119,37,536,326,622,769,1001
ASH1_67_130,24,675,176,1047,1230,617
ASH1_78_141,8,116,27,354,171,242
ASH1_89_152,7,547,275,530,997,987
ASH1_100_163,79,417,260,523,1109,583
ASH1_111_174,18,672,173,858,1448,874
ASH1_122_185,9,634,611,1216,1550,1001
ASH1_133_196,16,340,484,1388,1018,882
ASH1_144_207,12,575,228,885,721,614
ASH1_155_218,3,424,126,599,730,359
ASH1_166_229,26,447,133,546,309,258
ASH1_177_240,20,239,89,799,501,452
ASH1_188_251,2,31,15,7,153,207
ASH1_199_262,2,124,7,345,286,154
ASH1_210_273,10,381,85,655,846,291
ASH1_221_284,2,399,22,441,730,600
ASH1_232_295,26,688,216,296,827,719
ASH1_243_306,46,518,550,593,753,808
ASH1_254_317,18,373,247,528,725,528
ASH1_265_328,14,645,120,711,1652,735
ASH1_276_339,19,340,120,257,729,430
ASH1_287_350,9,232,381,312,450,364
ASH1_298_361,1,62,10,50,150,132
ASH1_309_372,1,14,3,2,37,20
ASH1_320_383,1,42,16,237,242,76
ASH1_331_394,1,96,34,70,68,166
ASH1_342_405,7,29,11,114,95,82
ASH1_353_416,2,31,19,175,207,142
ASH1_364_427,0,197,45,632,367,229
ASH1_375_438,5,388,102,624,754,564
ASH1_386_449,7,101,213,11,143,144
ASH1_397_460,140,365,1175,614,848,872
ASH1_408_471,67,395,2048,2433,1482,1478
ASH1_419_482,24,488,1103,1790,1007,1165
ASH1_430_493,68,468,653,1091,843,831
ASH1_441_504,59,556,1251,1763,1020,760
ASH1_452_515,20,515,971,1892,1106,985
ASH1_463_526,32,513,1430,784,1641,1226
ASH1_474_537,3,107,66,689,107,161
ASH1_485_548,2691,556,1169,1487,1584,703
ASH1_496_559,25,37,243,50,138,108
ASH1_507_570,2,44,0,10,15,25
ASH1_518_581,1,57,29,197,67,30
ASH1_525_588,7,70,157,550,190,98
AZF1_1_64,18,693,1285,2193,1734,1275
AZF1_12_75,41,114,138,212,383,451
AZF1_23_86,5,204,223,304,782,450
AZF1_34_97,4,385,206,372,501,357
AZF1_45_108,9,291,372,200,538,408
AZF1_56_119,16,621,61,1228,1327,849
AZF1_67_130,216,367,1204,830,573,303
AZF1_78_141,34,473,283,740,796,514
AZF1_89_152,136,318,1051,671,1045,694
AZF1_100_163,41,302,330,282,973,697
AZF1_111_174,66,1063,1789,1251,1891,1250
AZF1_122_185,22,290,242,815,580,418
AZF1_133_196,24,285,267,21,660,353
AZF1_144_207,24,486,246,922,1130,865
AZF1_155_218,7,437,42,238,852,403
AZF1_166_229,12,84,28,253,234,112
AZF1_177_240,10,28,17,30,167,111
AZF1_188_251,8,157,175,76,229,137
AZF1_199_262,4,51,13,85,109,115
AZF1_210_273,8,5,15,2,117,28
AZF1_221_284,129,65,8,22,41,80
