,1_1_1,1_1_2,1_2_1,1_2_2,1_3_1,1_3_2,1_4_1,1_4_2,1_5_1,1_5_2,1_6_1,1_6_2,1_7_1,1_7_2,1_8_1,1_8_2
Msn2_401_464,7,8,14175,77,8422,4696,37752,27337,17926,58820,17555,59,9,20088,61,9
Msn2_406_469,4,159,1,140,1,7,0,1,0,1,0,0,0,0,20,0
Msn2_411_474,3,88,23423,0,6326,52,2140,10269,1,2667,13,0,15,8,43,1
Msn2_416_479,2922,3379,1445,4571,2240,0,3874,2,1,5,3,1,2,4,80,2
Msn2_421_484,3272,673,4393,159,2603,0,2,8,2,1,0,1,0,1,106,2
Msn2_426_489,10921,1167,14582,1368,17818,1500,12207,3810,10,2,0,6125,11,15,58,4
Msn2_431_494,3492,4,0,22408,3,22,42,6,0,1,1,3,1,0,70,3
Msn2_436_499,0,0,1,1,1,4,0,3,1,2,0,1,0,0,61,2
Msn2_441_504,291,7,32642,13670,11472,37215,16954,60182,14487,11895,2471,15,12,22,141,543
Msn2_446_509,1,0,1973,493,1,1,1002,0,2,4,0,6,0,4,57,0
Msn2_451_514,15,25,9908,427,11687,11573,15075,28550,16132,79531,12037,34048,25,166,205616,30
Msn2_456_519,0,3,2,2,14907,1,2,4,12,14,6516,1,4,7379,59,0
Msn2_461_524,0,1,0,0,3625,0,2281,2,0,7206,0,1662,450,3,37,0
Msn2_466_529,201,1,0,1,0,6651,2563,0,1,1,0,4,0,2,73,1
Msn2_471_534,1292,720,18,0,1,0,0,17,4,2,1,1,1,6313,70,1
Msn2_476_539,7804,8,11527,19728,47333,4149,17352,24135,12283,31754,3785,874,9,12,34,28
Msn2_481_544,1,3,13,1,0,2,3,9,10434,5,4415,24065,1,3438,55,3
Msn2_486_549,5417,1816,4972,12159,4501,91,8287,8,1722,27,2051,80993,1,168,211,7
Msn2_491_554,5266,21,71,4489,21203,3929,56072,277,38975,224732,68649,77466,74,218,153,36
Msn2_496_559,0,0,18,0,1,0,3,0,0,0,0,6,0,5,100,4
Msn2_501_564,9,7,4,3247,58768,10642,31433,3600,13748,2077,18658,58277,9,78734,166,17
Msn2_506_569,16,120,4,6,2,17,2,14,4,27130,20,6699,16230,69361,114,13
Msn2_511_574,2985,109,3384,2301,6698,23475,7922,25022,721,20724,7965,4927,4,6091,81,1090
Msn2_516_579,6,21,11846,32,10,3248,10,100,62,33,42446,120669,22734,378,160,19
Msn2_521_584,17,789,42,6181,11,8,7847,357,3162,18332,30,2053,17,3093,60297,212013
Msn2_526_589,3802,1203,6214,6153,23628,5280,2074,10410,72479,25,1623,24759,50,83,223,7
Msn2_531_594,96,69,5016,166,10341,136,40,403,127374,7795,172468,149573,221486,291941,174197,303195
Msn2_536_599,6443,2024,13286,12994,7313,6510,11037,10359,15446,8328,1346,6,83,7,131,6
Msn2_541_604,3016,1504,37303,27733,8685,30704,15,73737,51277,35734,19684,24260,18277,85,60,22
Msn2_546_609,3665,10944,44477,42951,59903,20273,12040,29234,9448,18350,9263,20628,1838,72,82,13
Msn2_551_614,19629,7424,23490,11163,38070,4878,15190,1038,1594,11,11,4,4,6,56,9
Msn2_556_619,9737,9656,7926,3087,2,4,6,9,1,3,18,1,3,6,64,1
Msn2_561_624,50869,4842,9936,59668,49566,17588,21764,21819,12741,20,11434,16,9,11,46,14
Msn2_566_629,37057,14569,24377,31720,22540,9489,3427,8823,11506,18,4,7,9,9,64,5
Msn2_571_634,33846,23476,12672,8104,13835,4579,29171,6013,26351,18318,8,26,6,4,50,11
Msn2_576_639,3,4,1,0,4170,1,2,5,2,2,16,1,0,49626,71,6
Msn2_581_644,1,3,18,5,4884,1,3682,4,1,1,5322,1850,1,9089,59,1
Msn2_586_649,6,3,9,1,0,9,4,7070,6,4,6571,19359,3,49,26,5
Msn2_591_654,42466,8594,33027,35615,2792,18361,1912,25688,358,14,6,5,19,17,2642,10
Msn2_596_659,29457,5358,17510,8477,41,14813,10936,20829,10,10,8,6,6,10,48,12
Msn2_601_664,1,1,0,1,3,2,1,2,14767,4,2,27069,36,27201,32,4
Msn2_606_669,4,0,1,0,1,0,0,1,1,0,0,3025,1,0,59,1
Msn2_611_674,75796,8542,30573,7247,21085,2578,21,21,9,6,14,4,6,23,33,10
Msn2_616_679,4878,3472,5638,3,1,1,4,11,2,0,0,0,0,0,24,1
Msn2_621_684,12769,9291,5,12675,10975,5,5250,6661,2,43884,39,8,4,13,76,0
Msn2_626_689,58209,22050,25301,38939,16804,18717,7941,39,35,20,4,27,19,33,112,10
Msn2_631_694,6447,182,5774,2451,8401,14922,68,335,54064,26033,18546,19254,346794,363131,264128,47
Msn2_636_699,0,545,841,14,2,0,0,3,4,4525,1,1,1,0,64,1
Msn2_641_704,1,2,1,18,0,11962,1,4,22454,16,2926,2,1,5,99,3
GSY1_1_64,7205,1257,5596,7,14,5977,309,1,0,6,0,0,1,1,32,3
GSY1_91_154,492,31,64,52,21,29,21,85,22,9891,12,4703,90507,166524,109814,262472
GSY1_181_244,23,44,30,81,22,97,13828,26933,14987,98800,81734,72383,154481,88051,271659,45
GSY1_271_334,68,236,72,81,55,71,94,106,80,5910,2487,69,67964,380039,404586,553454
GSY1_361_424,20,127,37,2,3,5,10647,22378,431,2356,8538,13846,47,65,70,1
GSY1_451_514,4,8,18,15537,5,4,5,3,2,3,3,60034,6,25021,131,10
GSY1_541_604,10,7,36,25,6,17579,9245,13077,10357,10735,24689,67629,21941,155,91,16
HXK1_1_64,10703,43,17181,9675,18,8654,124,670,11393,21194,50549,36528,150878,155557,150,24
HXK1_91_154,20,31,22,69,26,65,20,46656,838,37924,75633,115470,24449,254534,133920,40
HXK1_181_244,0,0,1,0,0,0,0,8,0,0,3761,1,6,11,66,0
HXK1_271_334,7,11,10,10,8,14,48,27,6,24,11,12,25513,66458,174341,23
HXK1_361_424,0,0,0,16,0,0,0,11,0,0,0,0,0,0,109,0
TDH3_1_64,12675,1666,3277,7747,26489,3045,1327,705,7,9,24,5,3,7,95,6
TDH3_91_154,19,129,127069,30,7889,102,22133,136,52662,43820,59563,27661,20787,26721,179,27
TDH3_181_244,47257,3083,107553,95818,110846,47703,55818,126873,31183,184409,8738,9128,27,92,262,40
