,1_1_1,1_1_2,1_1_3,1_2_1,1_2_2,1_2_3,1_3_1,1_3_2,1_3_3,1_4_1,1_4_2,1_4_3,1_5_1,1_5_2,1_5_3,1_6_1,1_6_2,1_6_3,1_7_1,1_7_2,1_7_3,1_8_1,1_8_2,1_8_3
ABF1_199_262,0,0,26,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABF1_210_273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABF1_221_284,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0
ABF1_232_295,326,0,81,0,233,0,924,39,132,61,0,583,35,0,0,122,0,5,0,0,0,0,0,0
ABF1_243_306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABF1_254_317,0,0,0,0,19,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABF1_265_328,0,0,299,720,98,0,319,109,569,1,92,1,0,0,0,0,0,364,0,1733,0,0,0,2
ABF1_276_339,74,112,274,290,28,556,264,37,237,0,0,92,0,0,0,0,0,1,0,0,0,0,0,0
ABF1_287_350,90,61,492,1132,0,1,0,0,0,106,159,0,0,0,645,258,187,10,0,0,0,0,0,0
ABF1_298_361,0,0,0,0,236,0,423,0,254,79,148,1812,0,702,381,516,132,44,127,0,0,0,0,0
ABF1_309_372,95,0,0,0,0,1,645,487,1,28,0,557,311,0,0,343,317,1348,187,0,0,0,0,0
ABF1_320_383,0,0,0,0,0,0,0,0,252,1,0,0,79,515,0,1100,207,566,1,1,3835,1194,0,0
ABF1_331_394,0,0,0,26,48,448,84,0,0,123,0,0,748,0,0,0,0,0,0,0,1,0,0,0
ABF1_342_405,240,37,357,326,23,96,642,0,228,62,216,536,44,162,96,0,0,0,0,0,0,0,0,0
ABF1_353_416,0,0,0,0,31,425,0,0,283,25,0,0,254,894,733,89,630,596,0,0,0,0,0,0
ABF1_364_427,0,0,0,0,0,0,142,201,0,6,1,0,279,278,129,288,20,1,0,0,0,0,0,0
ABF1_375_438,0,0,106,30,0,0,1,49,0,0,0,0,117,188,0,0,0,364,0,0,0,0,0,0
ABF1_386_449,0,0,0,0,147,0,0,0,95,76,112,0,189,783,136,0,288,0,0,0,0,0,0,0
ABF1_397_460,483,0,85,225,0,262,815,881,4,66,93,310,3,1022,0,18,0,7,0,0,1,0,0,0
ABF1_408_471,66,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABF1_419_482,244,79,1569,1093,192,471,365,174,0,0,0,88,0,0,0,0,0,1,0,0,0,0,1,0
ABF1_430_493,157,68,105,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABF1_441_504,0,0,0,0,0,0,194,147,0,39,58,88,0,845,0,0,0,2,0,0,0,1,0,0
ABF1_452_515,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ABF1_463_526,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0
ABF1_474_537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABF1_485_548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4233,0,0,0
ABF1_496_559,61,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0
ABF1_507_570,554,115,2146,770,7,699,164,58,594,30,1,0,0,0,0,0,0,1,0,0,0,0,0,0
ABF1_518_581,639,48,505,124,0,133,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
ABF1_529_592,800,0,651,1073,41,425,108,612,1352,24,311,633,2,0,0,0,440,1,0,0,0,0,0,0
ABF1_540_603,646,91,46,843,403,1417,1050,51,43,7,270,0,0,0,0,0,0,3,0,0,1,0,0,0
ABF1_551_614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABF1_562_625,0,0,0,0,0,0,0,0,0,15,28,99,0,0,0,0,0,69,0,0,0,0,0,0
ABF1_573_636,0,0,0,0,139,298,159,0,0,22,0,48,0,262,0,245,0,917,0,0,0,0,0,0
ABF1_584_647,0,119,957,131,0,0,171,293,169,37,0,150,0,0,0,0,0,0,0,0,0,0,0,0
ABF1_595_658,88,0,0,0,0,0,0,0,0,0,0,1,0,0,249,0,107,0,0,0,0,0,0,0
ABF1_606_669,262,67,48,414,160,206,116,0,1,0,204,0,0,0,0,0,0,0,0,0,0,0,0,1
ABF1_617_680,0,0,0,0,0,0,1,0,0,21,0,0,22,0,0,0,0,0,0,0,0,0,0,0
ABF1_628_691,0,2,0,130,290,1,1,115,302,0,158,303,1,514,0,102,467,0,0,0,0,0,0,0
ABF1_639_702,0,0,116,162,70,0,199,9,0,1,41,166,51,0,0,0,0,1,0,0,0,0,0,0
ABF1_650_713,0,0,0,0,0,0,0,0,0,0,0,459,0,338,0,0,0,0,0,0,0,0,0,1
ABF1_661_724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648,0,0
ABF1_668_731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0
ABF2_1_64,422,45,278,440,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
ABF2_12_75,0,0,437,40,0,762,2,0,935,46,0,0,172,344,309,1,294,1434,78,0,0,0,0,0
ABF2_23_86,0,0,0,0,0,0,0,0,0,8,0,0,0,0,640,0,0,0,0,0,0,0,0,0
ABF2_34_97,0,0,0,0,0,0,89,0,0,181,219,0,202,114,0,108,299,275,0,0,0,0,0,0
ABF2_45_108,7,9,242,1304,28,489,18,172,719,5,799,0,2,1,0,0,2,0,0,0,0,0,0,1
ABF2_56_119,0,22,0,346,0,1929,1,159,88,22,115,1,0,0,0,0,0,0,0,0,0,0,0,0
ABF2_67_130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABF2_78_141,0,0,0,0,0,0,153,0,0,0,278,0,216,27,0,0,0,338,0,0,1,0,0,0
ABF2_89_152,238,49,229,0,13,101,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABF2_100_163,292,62,609,129,260,576,113,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ABF2_111_174,0,0,0,0,0,0,0,23,0,0,0,0,0,0,296,0,0,0,0,0,0,0,0,0
ABF2_120_183,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,1,0,0,0,0
ACA1_1_64,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,787,0
ACA1_12_75,0,0,0,0,0,5,0,0,0,0,0,0,0,581,0,376,0,0,0,0,0,0,0,0
ACA1_23_86,0,0,0,70,10,0,0,49,0,0,173,0,0,126,199,0,0,0,0,0,0,0,0,0
ACA1_34_97,207,38,0,0,0,598,1112,342,636,85,616,524,0,922,804,1186,0,2197,0,440,0,0,0,0
ACA1_45_108,1,0,0,0,0,1,0,0,0,0,0,0,0,636,0,163,0,234,418,0,0,0,0,0
ACA1_56_119,88,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACA1_67_130,63,0,0,0,0,0,1,0,0,0,376,1493,55,1620,320,0,1308,0,1,0,0,271,0,471
ACA1_78_141,0,0,0,849,25,0,77,0,0,1,0,416,91,0,215,638,362,2166,0,0,0,0,0,0
ACA1_89_152,0,0,0,295,0,1,0,0,0,0,0,0,44,0,293,0,968,0,0,0,289,0,904,0
ACA1_100_163,132,0,228,0,31,0,303,69,347,45,0,0,139,29,378,101,0,285,0,0,0,0,0,0
ACA1_111_174,424,5,47,96,32,203,91,0,44,1,0,0,0,0,722,0,0,135,0,0,0,0,1,0
ACA1_122_185,180,78,13,273,67,1105,614,0,230,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
ACA1_133_196,0,0,451,322,21,313,0,496,206,0,0,220,166,1,543,0,0,643,0,0,0,0,0,0
ACA1_144_207,115,90,143,603,768,1057,2595,219,1433,75,142,1044,1,38,0,2,0,9,0,0,1,0,0,0
ACA1_155_218,300,0,0,0,0,0,0,39,370,0,0,727,0,0,447,0,0,0,0,0,0,0,1,0
ACA1_166_229,0,0,0,142,0,6,50,0,12,0,0,300,0,1,0,0,0,0,0,0,0,0,0,0
ACA1_177_240,0,0,0,0,0,0,0,0,0,1,0,0,68,308,0,0,216,0,0,81,0,0,0,0
ACA1_188_251,0,0,0,193,249,1,0,500,163,0,665,261,22,1275,288,0,134,7,0,0,0,1,0,1
ACA1_199_262,134,20,0,316,96,1,3,48,42,0,378,456,86,0,0,0,0,618,0,0,5,0,0,0
ACA1_210_273,264,12,393,632,61,355,478,63,223,3,69,0,67,0,0,0,0,2,0,0,0,0,0,0
ACA1_221_284,198,0,77,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACA1_232_295,226,12,68,0,0,162,0,0,1,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0
ACA1_243_306,0,4,0,147,136,0,0,0,0,0,0,0,0,0,182,1,1096,288,1,0,0,0,0,0
ACA1_254_317,415,401,714,775,500,840,403,685,576,35,624,243,39,195,1,1,0,0,0,0,0,2,0,0
ACA1_265_328,0,0,0,0,0,92,0,0,134,185,0,395,0,506,104,257,0,0,0,1,0,0,0,0
ACA1_276_339,3,55,0,74,0,0,483,0,216,46,0,0,0,73,0,0,1,30,0,0,0,0,1,0
ACA1_287_350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACA1_298_361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0
ACA1_309_372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1014,0,0,0,0,0,0,0
ACA1_320_383,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACA1_331_394,0,0,0,100,0,0,0,0,0,11,0,377,61,346,146,181,0,50,0,0,0,0,0,0
ACA1_342_405,0,55,0,0,1,0,0,0,162,91,0,0,249,0,0,214,0,46,0,0,132,0,0,0
ACA1_353_416,0,25,0,0,0,1828,1,315,302,79,41,0,159,1,0,71,1,0,32,667,0,0,0,0
ACA1_364_427,37,36,0,146,241,623,561,223,744,1,93,113,0,0,0,0,0,3,0,0,0,0,0,0
ACA1_375_438,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACA1_386_449,0,44,0,12,23,399,0,71,0,0,0,0,0,0,0,0,520,0,0,0,0,0,0,1
ACA1_397_460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACA1_408_471,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACA1_419_482,0,0,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ACA1_426_489,0,20,1,0,0,119,0,0,0,0,34,0,39,335,0,0,0,0,0,0,0,1,0,0
ACE2_1_64,0,0,0,0,0,0,132,0,56,0,41,0,0,339,263,0,0,170,0,0,0,0,0,0
ACE2_12_75,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACE2_23_86,0,0,0,0,0,0,57,0,0,0,0,598,0,0,0,0,0,0,0,0,0,0,0,0
ACE2_34_97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105
ACE2_45_108,424,0,0,3,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0
ACE2_56_119,484,34,0,209,101,160,131,0,186,14,148,272,0,0,0,0,0,0,0,0,0,0,0,0
ACE2_67_130,565,65,0,228,102,1207,277,220,92,1,1,186,0,73,0,0,0,1,0,0,0,0,1,0
ACE2_78_141,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACE2_89_152,0,0,74,47,0,62,219,83,685,114,508,0,130,502,0,28,0,2,0,112,0,1,0,0
ACE2_100_163,1,14,71,299,242,553,985,305,236,60,345,191,116,872,1030,0,72,5,0,1,1,0,0,0
ACE2_111_174,0,3,0,0,0,0,0,0,0,12,0,0,0,406,0,0,0,0,0,0,0,0,0,0
ACE2_122_185,707,104,584,12,94,273,47,130,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACE2_133_196,146,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACE2_144_207,32,18,5,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,123,0,0,0,0,0
ACE2_155_218,275,80,425,97,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACE2_166_229,0,0,0,529,0,0,89,99,0,0,0,1009,234,1,0,0,0,4,0,0,0,0,0,0
ACE2_177_240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACE2_188_251,1154,171,876,549,40,134,0,238,37,4,0,0,1,0,143,1,0,0,0,0,1,0,2,0
ACE2_199_262,453,102,101,0,121,56,0,0,112,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
ACE2_210_273,266,9,31,231,83,158,177,0,0,6,278,0,0,0,0,0,0,0,0,0,0,0,0,0
ACE2_221_284,129,5,376,138,31,34,0,467,5,92,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ACE2_232_295,0,0,103,211,51,399,190,0,245,56,301,473,264,336,0,38,0,0,0,0,0,0,0,0
ACE2_243_306,0,41,16,0,0,0,86,0,6,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0
ACE2_254_317,35,0,0,59,0,108,0,0,0,37,0,0,0,4,42,0,0,0,0,0,0,0,0,0
ACE2_265_328,84,0,0,68,22,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
ACE2_276_339,0,0,0,291,0,0,0,0,0,41,0,0,149,262,0,0,70,0,8,0,0,0,0,0
ACE2_287_350,0,0,0,0,0,0,248,0,182,115,126,0,133,0,0,233,482,187,11,0,0,0,0,0
ACE2_298_361,0,0,0,0,0,141,0,318,0,0,159,0,0,0,163,345,181,0,0,231,0,0,0,0
ACE2_309_372,0,0,0,0,0,0,0,0,0,0,484,0,0,0,0,0,0,0,0,0,0,0,0,0
ACE2_320_383,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0
ACE2_331_394,49,0,0,32,0,386,0,0,0,97,0,0,19,0,36,40,1,1321,0,436,0,0,0,0
ACE2_342_405,106,0,370,619,240,0,226,454,114,69,653,85,0,1449,966,295,179,1,0,0,0,1,0,0
ACE2_353_416,0,0,0,0,0,0,546,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
ACE2_364_427,0,0,0,0,0,0,0,56,0,80,0,0,0,121,0,0,0,0,0,0,0,0,0,0
ACE2_375_438,224,36,0,298,134,0,133,0,78,8,254,0,142,141,304,0,0,0,0,0,0,0,0,0
ACE2_386_449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACE2_397_460,178,0,0,746,0,0,78,281,118,14,1,0,156,0,194,0,0,0,0,0,1,0,0,0
ACE2_408_471,337,23,18,0,0,0,98,0,321,0,209,361,205,188,0,0,0,0,0,0,0,0,0,0
ACE2_419_482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACE2_430_493,530,119,1126,1869,218,2712,245,250,483,52,19,0,0,0,0,0,0,1,1,199,78,0,0,0
ACE2_441_504,326,0,0,1046,164,53,225,189,0,233,176,0,171,780,198,15,0,0,0,0,0,0,0,0
ACE2_452_515,500,167,476,671,67,1254,367,183,354,13,51,585,0,0,307,0,0,1,0,1,0,0,0,0
ACE2_463_526,391,34,0,389,134,124,397,190,330,88,109,846,17,255,290,0,0,1,0,0,0,0,0,0
ACE2_474_537,0,0,0,0,0,250,0,80,74,146,0,0,0,109,0,312,0,444,0,0,0,0,0,0
ACE2_485_548,0,3,0,652,87,680,438,100,1072,79,103,0,0,38,0,0,0,0,0,0,1,0,0,0
ACE2_496_559,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0
ACE2_507_570,0,0,0,375,0,0,0,0,0,0,242,142,53,296,0,0,0,0,0,0,0,0,0,1
ACE2_518_581,0,0,0,0,0,0,0,0,0,0,0,0,0,587,0,0,0,0,0,0,0,0,0,0
ACE2_529_592,225,37,407,105,191,315,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACE2_540_603,426,26,345,434,9,0,2,0,0,0,0,0,0,0,54,0,42,0,0,0,0,0,0,0
ACE2_551_614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561,0,0,75,0,0,0,0,0,0
ACE2_562_625,0,0,0,1,0,0,292,175,0,0,432,0,0,491,0,0,0,0,0,0,0,0,0,0
ACE2_573_636,496,249,113,102,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ACE2_584_647,0,0,0,0,0,0,500,0,0,0,0,0,0,0,133,0,0,5,0,0,0,0,0,0
ACE2_595_658,346,32,126,3,69,0,0,26,0,114,0,94,757,0,0,183,1857,181,56,0,0,0,1,1
ACE2_606_669,0,0,0,522,108,69,1456,0,354,1,669,1621,97,2952,476,563,1129,2485,2219,1,1417,0,1002,0
ACE2_617_680,0,10,0,0,0,0,12,0,0,23,1,1034,0,0,0,396,239,118,0,0,0,0,0,2
ACE2_628_691,0,15,16,33,208,367,78,824,0,90,268,153,93,399,688,179,0,1,0,0,0,0,0,0
ACE2_639_702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACE2_650_713,265,34,0,0,0,92,220,151,0,0,143,0,0,49,344,338,14,1,0,0,0,0,0,0
ACE2_661_724,0,0,0,0,0,2,0,0,0,0,0,114,0,0,1,0,162,507,0,0,0,0,0,0
ACE2_672_735,0,0,0,0,0,0,0,241,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0
ACE2_683_746,0,0,0,0,0,0,0,0,0,0,1,88,0,568,0,0,0,0,0,22,0,0,0,0
ACE2_694_757,268,0,208,0,1,639,0,0,418,64,0,572,9,48,0,58,367,73,0,0,0,0,0,0
ACE2_705_768,0,0,0,0,189,0,0,0,0,0,0,280,21,0,0,0,151,0,0,0,0,0,0,0
ACE2_707_770,0,0,0,196,0,10,0,0,0,0,0,28,0,0,0,74,1,0,0,0,0,239,0,0
ADR1_1_64,0,0,26,684,81,262,0,308,508,1,0,499,115,498,59,28,0,1,0,0,0,0,0,0
ADR1_12_75,0,1,0,0,0,0,0,0,0,0,62,3,61,0,423,0,99,0,50,0,0,0,0,0
ADR1_23_86,0,0,0,0,0,0,0,0,291,0,0,0,96,577,0,20,201,268,0,0,0,0,1,0
ADR1_34_97,482,44,362,275,8,272,0,42,0,0,0,0,0,0,0,0,709,0,0,0,0,0,0,0
ADR1_45_108,536,268,2246,232,49,147,105,47,226,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
ADR1_56_119,0,0,0,240,41,299,0,281,0,89,415,0,44,113,251,242,0,0,1,0,0,0,0,0
ADR1_67_130,814,88,698,239,29,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ADR1_78_141,153,0,716,0,22,0,40,503,322,0,0,999,0,220,0,0,0,0,0,0,0,0,0,0
ADR1_89_152,1,1,0,0,0,0,1,191,29,174,0,0,526,1557,751,568,2208,1707,755,1554,5389,0,0,0
ADR1_100_163,4,6,0,326,95,0,11,37,13,15,41,597,42,355,0,5,492,0,3,0,0,0,0,0
ADR1_111_174,0,43,0,99,158,0,0,0,0,0,0,0,330,0,10,0,1446,0,0,0,0,1,0,0
ADR1_122_185,1389,124,600,706,159,1245,17,20,1096,0,231,848,0,0,0,0,0,0,0,0,0,0,0,0
ADR1_133_196,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADR1_144_207,0,0,0,298,109,1832,499,31,333,0,672,0,3,0,16,0,1167,345,0,0,0,0,0,0
ADR1_155_218,827,181,1095,51,353,1437,107,282,0,0,0,0,0,238,0,0,0,0,0,0,0,2,0,0
ADR1_166_229,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADR1_177_240,0,0,0,0,72,0,420,0,0,72,0,0,0,0,668,0,0,147,0,1,0,0,0,0
ADR1_188_251,0,0,0,638,0,966,42,0,58,43,766,0,2,0,556,0,0,170,0,1,0,0,0,0
ADR1_199_262,472,152,1748,77,68,216,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ADR1_210_273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADR1_221_284,898,274,1112,0,43,460,1,0,203,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ADR1_232_295,73,1,0,810,0,77,0,1,0,22,0,1508,11,600,0,1164,0,1833,0,313,1,0,0,0
ADR1_243_306,779,82,714,678,178,403,272,513,643,8,0,162,0,0,0,0,0,1,0,0,0,0,0,0
ADR1_254_317,148,12,389,490,9,410,406,0,109,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADR1_265_328,141,13,72,0,7,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0
ADR1_276_339,0,0,0,109,0,0,289,2,0,2,0,0,0,223,1028,223,924,64,1005,0,2,0,0,0
ADR1_287_350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADR1_298_361,0,14,0,0,74,412,30,128,18,40,158,48,177,46,0,251,0,0,0,0,0,0,0,0
ADR1_309_372,0,0,0,0,9,800,484,0,583,4,0,0,77,355,248,0,0,36,316,752,0,0,0,1
ADR1_320_383,131,0,147,240,8,0,232,249,482,94,213,299,0,86,0,0,0,607,0,0,0,0,0,0
ADR1_331_394,6,0,0,0,0,0,0,0,0,4,0,215,0,377,0,0,837,0,61,153,0,0,0,0
ADR1_342_405,0,0,0,0,0,0,0,0,0,30,358,0,93,514,0,0,25,318,290,0,179,0,0,0
ADR1_353_416,0,0,0,0,0,235,260,0,0,37,0,141,0,0,1,180,0,2,0,0,0,0,0,0
ADR1_364_427,730,174,620,651,207,832,704,239,477,36,365,640,0,0,0,0,0,4,0,0,0,0,0,0
ADR1_375_438,238,112,247,191,188,300,702,23,342,33,2,250,0,0,0,0,0,0,0,0,0,0,0,0
ADR1_386_449,0,0,0,54,37,187,86,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADR1_397_460,0,0,0,0,0,126,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0
ADR1_408_471,0,0,145,241,52,567,1004,0,39,71,33,182,159,0,569,340,0,1,0,0,0,1,0,0
ADR1_419_482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643,0,0,0,0,0,0,0
ADR1_430_493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
ADR1_441_504,0,0,0,0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,796,0,0,0,0
ADR1_452_515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADR1_463_526,0,0,0,0,0,0,0,0,0,0,293,0,0,0,0,0,151,704,0,0,0,0,0,0
ADR1_474_537,572,11,0,369,437,752,235,1536,467,73,946,701,378,359,1475,371,0,532,0,1,0,0,0,1
ADR1_485_548,0,0,1,0,0,0,248,733,346,95,94,779,16,1568,14,621,91,2972,28,0,184,0,0,0
ADR1_496_559,47,0,0,351,0,277,0,251,18,18,0,483,0,0,0,0,0,0,0,0,0,0,0,0
ADR1_507_570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADR1_518_581,0,0,0,113,0,0,0,0,0,0,70,0,0,0,0,0,199,0,0,0,0,0,0,0
ADR1_529_592,0,11,0,0,0,0,514,128,0,1,51,88,21,82,722,633,101,0,0,0,0,0,0,0
ADR1_540_603,0,31,411,1,12,41,0,463,274,40,684,0,0,368,229,127,1,95,0,0,0,0,0,0
ADR1_551_614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,0,0,0,0,0,0
ADR1_562_625,0,17,73,46,0,0,0,0,0,0,0,165,2,0,0,156,10,0,0,0,0,0,0,0
ADR1_573_636,436,0,0,152,0,6,54,0,0,0,106,482,0,0,0,0,72,0,0,0,0,0,0,0
ADR1_584_647,373,54,128,0,2,520,157,0,346,22,225,0,0,0,0,0,0,0,0,0,0,0,0,0
ADR1_595_658,0,0,0,6,0,0,0,0,81,3,0,1279,74,127,1036,327,979,1304,1980,1139,1899,0,0,1521
ADR1_606_669,0,0,0,0,0,1,0,0,0,0,285,2794,3,2615,246,407,0,58,134,0,351,0,1336,0
ADR1_617_680,0,0,1,1,0,1,228,0,444,105,1,0,668,227,2406,1848,1218,5516,1697,1587,2061,0,0,2
ADR1_628_691,0,186,144,718,258,5,1322,132,117,55,264,249,18,9,510,0,0,6,0,0,0,0,0,0
