,1_0_1,1_180_1,1_60_2,2_0_2,2_180_2,2_60_1
ACE2_232_295,1521,569,188,413,226,840
ACE2_243_306,421,40,7,158,67,42
ACE2_254_317,3711,1419,21,93,35,1564
ACE2_265_328,416,86,208,1182,758,112
ACE2_276_339,594,194,6669,6599,9239,345
ACE2_287_350,94,19,898,2158,2973,6
ACE2_298_361,529,40,16,27,8,162
ACE2_309_372,21,6,9,9,12,4
ACE2_320_383,80,3,2,24,4,17
ACE2_331_394,170,2,5,8,1,14
ACE2_342_405,214,9,35,453,135,23
ACE2_353_416,94,16,2,40,56,6
ACE2_364_427,853,26,4,29,26,315
ACE2_375_438,272,159,270,641,199,41
ACE2_386_449,64,12,6,43,11,13
ACE2_397_460,135,158,86,27,32,57
ACE2_408_471,362,89,229,248,254,50
ACE2_419_482,1294,3058,31,33,18,997
ACE2_430_493,461,191,351,721,315,102
ACE2_441_504,1138,302,235,245,307,260
ACE2_452_515,592,164,428,974,836,173
ACE2_463_526,295,36,38,309,82,25
ACE2_474_537,213,29,34,40,54,49
ACE2_485_548,746,35,924,1801,3310,66
ACE2_496_559,91,32,157,296,94,33
ACE2_507_570,84,27,180,35,11,59
ACE2_518_581,66,8,99,78,90,10
ACE2_529_592,282,72,193,190,354,35
ACE2_540_603,117,23,60,89,107,11
ACE2_551_614,50,6,16,10,6,35
ACE2_562_625,194,17,51,57,48,45
ACE2_573_636,2440,2193,53,77,99,1576
ACE2_584_647,1132,3249,18,32,18,688
ACE2_595_658,812,689,35,111,78,420
ACE2_606_669,124,31,22,374,207,22
ACE2_617_680,206,42,20,3,72,51
ACE2_628_691,73,25,117,213,182,35
ACE2_639_702,42,17,45,56,26,16
ACE2_650_713,211,56,27,190,111,12
ACE2_661_724,124,6,3,39,51,28
ACE2_672_735,296,230,2347,3622,6171,98
ACE2_683_746,81,1,309,641,959,11
ACE2_694_757,2564,1024,99,285,157,1173
ACE2_705_768,29,34,21,48,3,1
ACE2_707_770,43,39,48,12,9,6
ADR1_1_64,164,41,37,133,20,29
ADR1_12_75,138,12,93,166,119,50
ADR1_23_86,81,5,7,4,58,18
ADR1_34_97,71,5,582,2651,2538,16
ADR1_45_108,699,67,14,258,96,420
ADR1_56_119,130,5,2,3,7,34
ADR1_67_130,41,1,12,117,98,4
ADR1_78_141,21,11,157,363,159,17
ADR1_89_152,467,56,1800,3141,3209,66
ADR1_100_163,669,459,71,137,9,228
ADR1_111_174,141,4,2,4,4,7
ADR1_122_185,28,1,74,236,30,11
ADR1_133_196,846,295,13,21,34,512
ADR1_144_207,1918,524,15,108,29,965
ADR1_155_218,243,32,1309,2695,2615,54
ADR1_166_229,67,14,4,184,41,17
ADR1_177_240,33,10,178,67,610,2
ADR1_188_251,315,23,29,213,214,56
ADR1_199_262,112,17,56,503,259,19
ADR1_210_273,486,165,121,54,73,180
ADR1_221_284,820,146,34,228,211,139
ADR1_232_295,536,140,112,138,171,243
ADR1_243_306,594,47,170,449,264,101
ADR1_254_317,2336,285,489,1310,1760,1199
ADR1_265_328,331,142,47,411,318,72
ADR1_276_339,361,63,10,110,55,51
ADR1_287_350,486,23,327,1012,1350,167
ADR1_298_361,313,33,61,460,269,70
ADR1_309_372,907,150,121,360,325,213
ADR1_320_383,2862,873,54,306,206,1162
ADR1_331_394,53,1,14,93,144,0
ADR1_342_405,40,17,9,20,60,7
ADR1_353_416,308,13,3,39,85,59
ADR1_364_427,3200,333,283,810,905,1292
ADR1_375_438,1039,154,963,3050,4137,624
ADR1_386_449,151,11,101,857,403,21
ADR1_397_460,25,5,142,207,54,3
ADR1_408_471,200,9,217,533,536,67
ADR1_419_482,31,12,1,1,4,3
ADR1_430_493,10,3,25,65,75,6
ADR1_441_504,3085,214,310,1185,1739,1673
ADR1_452_515,38,2,9,25,41,8
ADR1_463_526,84,21,8,92,50,205
ADR1_474_537,2124,33,16,132,50,964
ADR1_485_548,92,8,6,2,0,9
ADR1_496_559,165,29,38,530,334,60
ADR1_507_570,44,12,2,17,6,5
ADR1_518_581,53,12,435,1947,2658,7
ADR1_529_592,2541,543,388,762,959,1267
ADR1_540_603,453,34,1037,2145,2897,72
ADR1_551_614,81,9,102,330,394,5
ADR1_562_625,1726,4554,13,162,100,1596
ADR1_573_636,104,14,93,108,266,24
ADR1_584_647,1317,190,175,830,468,747
ADR1_595_658,47,29,65,357,198,43
ADR1_606_669,320,61,462,1449,1891,93
ADR1_617_680,1617,283,571,1230,1750,1171
ADR1_628_691,195,16,324,1284,1629,86
ADR1_639_702,98,15,15,87,97,28
ADR1_650_713,127,43,641,1384,1334,64
ADR1_661_724,168,31,591,716,1333,45
ADR1_672_735,194,116,20,42,68,162
ADR1_683_746,149,10,891,490,350,13
ADR1_694_757,150,6,7,279,55,18
ADR1_705_768,95,7,179,302,304,34
ADR1_716_779,507,41,13,80,179,115
ADR1_727_790,461,77,446,1641,1748,79
ADR1_738_801,140,14,937,2304,3177,18
ADR1_749_812,3370,2150,412,320,286,2123
ADR1_760_823,658,129,523,139,1757,194
ADR1_771_834,1779,415,178,335,103,904
ADR1_782_845,731,56,1360,189,4630,100
ADR1_793_856,332,833,334,1158,1423,171
ADR1_804_867,195,34,36,232,192,61
ADR1_815_878,331,19,33,320,250,49
ADR1_826_889,53,17,408,1794,1944,24
ADR1_837_900,459,13,25,186,47,60
ADR1_848_911,56,10,7,13,20,9
ADR1_859_922,392,18,105,1380,1917,149
ADR1_870_933,219,3,33,386,202,35
ADR1_881_944,170,2,46,690,805,88
ADR1_892_955,10,4,128,1441,1890,20
ADR1_903_966,1,1,4,1,1,1
ADR1_914_977,150,149,2,5,1,33
ADR1_925_988,14,0,116,85,193,7
ADR1_936_999,20,2,0,2,5,5
ADR1_947_1010,201,0,11,91,13,15
ADR1_958_1021,184,131,99,893,586,37
ADR1_969_1032,184,8,5,193,180,38
ADR1_980_1043,80,5,8,26,11,15
ADR1_991_1054,111,5,51,451,619,25
ADR1_1002_1065,322,13,520,3818,6051,77
ADR1_1013_1076,562,13,286,2243,2699,155
ADR1_1024_1087,2486,182,189,1061,1251,1020
ADR1_1035_1098,148,42,67,208,230,34
ADR1_1046_1109,61,9,40,322,141,10
ADR1_1057_1120,724,2040,23,45,102,336
ADR1_1068_1131,489,34,28,345,202,60
ADR1_1079_1142,221,13,162,2825,4278,69
ADR1_1090_1153,542,53,12,273,190,124
ADR1_1101_1164,112,15,11,223,294,33
ADR1_1112_1175,58,6,37,386,326,23
ADR1_1123_1186,242,147,19,355,324,96
ADR1_1134_1197,248,7,2,6,0,97
ADR1_1145_1208,205,6,991,3404,4783,55
ADR1_1156_1219,438,31,128,365,300,156
ADR1_1167_1230,102,3,16,55,81,36
ADR1_1178_1241,1246,264,71,404,247,732
ADR1_1189_1252,250,6,63,395,203,75
ADR1_1200_1263,418,50,35,204,250,99
ADR1_1211_1274,756,414,5,12,8,476
ADR1_1222_1285,390,98,104,329,353,72
ADR1_1233_1296,28,11,28,15,20,6
ADR1_1244_1307,275,17,42,157,82,64
ADR1_1255_1318,426,30,25,133,262,56
ADR1_1260_1323,785,126,52,252,194,370
AFT1_1_64,39,39,54,114,40,14
AFT1_12_75,269,915,3190,3097,4072,146
AFT1_23_86,435,445,67,235,66,185
AFT1_34_97,75,13,7,9,6,10
AFT1_45_108,314,73,152,428,155,91
AFT1_56_119,416,94,2907,2193,3804,129
AFT1_67_130,358,86,4442,7216,9795,88
AFT1_78_141,109,33,110,143,126,28
AFT1_89_152,110,120,15,21,39,75
AFT1_100_163,1281,2961,78,246,134,980
AFT1_111_174,21,34,7,36,48,43
AFT1_122_185,109,234,4,14,4,61
AFT1_133_196,179,41,159,378,298,39
AFT1_144_207,368,19,160,372,77,26
AFT1_155_218,327,169,164,214,97,155
AFT1_166_229,62,18,11,21,16,25
AFT1_177_240,55,2,93,91,83,4
AFT1_188_251,537,185,7,6,5,220
AFT1_199_262,11,0,0,40,68,0
AFT1_210_273,101,10,19,74,27,0
AFT1_221_284,1381,87,27,330,315,677
AFT1_232_295,126,17,59,1002,925,48
AFT1_243_306,99,5,8,88,83,42
AFT1_254_317,1,2,16,292,111,2
AFT1_265_328,1811,1335,426,595,723,996
AFT1_276_339,662,271,212,462,203,183
AFT1_287_350,16,9,1168,1473,2045,6
AFT1_298_361,484,310,176,375,108,116
AFT1_309_372,5337,18981,263,230,173,3763
AFT1_320_383,1820,702,353,679,672,903
AFT1_331_394,813,207,136,188,214,426
AFT1_342_405,257,56,94,292,170,45
AFT1_353_416,646,46,103,361,457,98
AFT1_364_427,429,194,128,404,416,160
AFT1_375_438,422,78,698,1572,2113,138
AFT1_386_449,508,131,62,200,75,245
AFT1_397_460,1641,461,73,415,206,703
AFT1_408_471,2082,832,15,48,57,1287
AFT1_419_482,484,74,152,292,85,117
AFT1_430_493,366,47,78,389,132,92
AFT1_441_504,694,143,569,969,1906,320
AFT1_452_515,16,13,11,61,52,16
AFT1_463_526,135,41,15,38,13,62
AFT1_474_537,30,7,31,256,63,7
AFT1_485_548,195,20,211,550,544,89
AFT1_496_559,2381,293,13,51,24,1316
AFT1_507_570,581,11,62,352,156,52
AFT1_518_581,8,13,33,303,77,9
AFT1_529_592,902,121,89,202,122,156
AFT1_540_603,50,25,378,610,667,33
AFT1_551_614,713,78,32,161,136,143
AFT1_562_625,820,292,43,355,137,329
AFT1_573_636,852,330,4572,5073,6096,388
AFT1_584_647,587,91,174,604,234,75
AFT1_595_658,19,24,156,505,88,18
AFT1_606_669,24,21,361,304,294,18
AFT1_617_680,210,103,8,61,9,17
AFT1_628_691,11,4,6,9,8,8
AFT1_627_690,645,126,32,329,78,97
AFT2_1_64,1205,199,476,1361,1621,529
AFT2_12_75,96,4,5,54,113,10
AFT2_23_86,86,4,7,57,32,19
AFT2_34_97,32,15,5,18,15,7
AFT2_45_108,974,269,1191,2217,2873,505
AFT2_56_119,762,190,257,494,687,442
AFT2_67_130,258,38,118,540,475,35
AFT2_78_141,202,67,121,71,87,40
AFT2_89_152,196,22,2426,3252,4313,48
AFT2_100_163,200,27,312,150,13,170
AFT2_111_174,289,43,3,5,95,78
AFT2_122_185,36,2,42,150,129,15
AFT2_133_196,24,12,11,64,31,11
AFT2_144_207,159,16,67,71,50,17
AFT2_155_218,1057,80,41,244,74,470
AFT2_166_229,291,24,15,82,63,49
AFT2_177_240,2034,104,666,3001,4817,734
AFT2_188_251,176,12,405,1824,2668,38
AFT2_199_262,240,6,6,196,118,58
AFT2_210_273,211,2,8,3,52,32
AFT2_221_284,554,15,10,113,33,251
AFT2_232_295,128,13,1612,1412,1816,27
AFT2_243_306,964,83,11,29,42,446
AFT2_254_317,123,15,29,216,205,39
AFT2_265_328,1123,156,61,204,225,468
AFT2_276_339,853,121,120,359,268,196
AFT2_287_350,303,23,334,664,464,32
AFT2_298_361,353,29,11,161,34,99
AFT2_309_372,867,333,242,472,252,255
AFT2_320_383,132,15,461,824,776,27
AFT2_331_394,358,73,132,318,365,184
AFT2_342_405,20,0,77,369,223,8
AFT2_353_416,979,152,102,243,222,429
ARG56_1_64,248,70,17412,11028,11318,85
ARG56_12_75,589,94,373,1218,1360,215
ARG56_23_86,353,67,256,721,435,69
ARG56_34_97,248,53,8,131,44,37
ARG56_45_108,55,39,51,78,134,0
ARG56_56_119,279,60,0,3,1,50
ARG56_67_130,74,8,3,132,146,58
ARG56_78_141,639,149,30,34,16,305
ARG56_89_152,1797,1197,4411,3959,3904,649
ARG56_100_163,393,235,61,242,136,146
ARG56_111_174,1136,200,200,584,449,405
ARG56_122_185,121,6,3,45,2,29
ARG56_133_196,82,13,2,67,51,18
ARG56_144_207,3907,752,291,931,1293,1908
ARG56_155_218,202,30,467,572,526,60
ARG56_166_229,101,14,5,1,7,11
ARG56_177_240,1724,519,718,1252,1766,604
ARG56_188_251,336,3,99,120,61,52
ARG56_199_262,716,228,565,1364,1103,186
ARG56_210_273,2427,2430,633,904,743,1235
ARG56_221_284,3059,2220,2733,2665,3383,1530
ARG56_232_295,600,205,1755,1689,2280,149
ARG56_243_306,725,573,7,22,22,176
ARG56_254_317,1,8,7,160,11,7
ARG56_265_328,368,37,718,3241,4613,223
ARG56_276_339,36,3,20,56,178,1
ARG56_287_350,117,1,19,175,203,18
ARG56_298_361,1435,37,6,87,62,555
ARG56_309_372,624,111,6,57,38,559
ARG56_320_383,1541,290,141,483,101,476
ARG56_331_394,427,29,7,63,2,84
ARG56_342_405,78,58,149,545,543,17
ARG56_353_416,145,51,121,852,471,22
ARG56_364_427,353,16,70,304,316,70
ARG56_375_438,234,36,111,566,948,94
ARG56_386_449,468,34,64,261,334,124
ARG56_397_460,136,62,1212,1478,1565,22
ARG56_408_471,89,69,165,26,64,26
ARG56_419_482,158,62,97,273,111,124
ARG56_430_493,257,169,24,53,9,222
ARG56_441_504,52,18,9,13,17,15
ARG56_452_515,104,3,105,237,226,14
ARG56_463_526,83,13,68,108,35,43
ARG56_474_537,3,4,9,24,28,6
ARG56_485_548,145,23,7,31,9,24
ARG56_496_559,191,164,560,1070,607,55
ARG56_507_570,409,386,2960,3637,4984,206
ARG56_518_581,507,465,102,244,183,364
ARG56_529_592,1095,179,48,73,95,498
ARG56_540_603,25,4,1,18,3,0
ARG56_551_614,354,2,7,176,150,61
ARG56_562_625,2,14,1,9,2,11
ARG56_573_636,15,3,1,4,0,0
ARG56_584_647,146,19,145,926,1458,65
ARG56_595_658,361,35,27,121,129,124
ARG56_606_669,52,31,17,58,19,41
ARG56_617_680,448,85,682,1802,2446,49
ARG56_628_691,305,20,63,133,82,77
ARG56_639_702,1451,767,142,117,34,880
ARG56_650_713,252,14,17,37,7,43
ARG56_661_724,481,46,355,693,500,73
ARG56_672_735,149,35,208,261,135,89
ARG56_683_746,702,87,79,172,126,167
ARG56_694_757,1228,522,478,1040,1120,710
ARG56_705_768,21,22,35,110,150,11
ARG56_716_779,652,52,124,437,549,171
ARG56_727_790,233,62,197,726,640,63
ARG56_738_801,74,42,79,288,235,12
ARG56_749_812,4,12,288,864,1053,27
ARG56_760_823,126,11,48,121,146,32
ARG56_771_834,21,12,11,50,23,20
ARG56_782_845,347,62,459,480,421,76
ARG56_793_856,183,68,29,107,39,82
ARG56_800_863,1083,628,15,120,3,437
ARG80_1_64,33,32,2362,2617,3359,8
ARG80_12_75,265,195,1056,1881,1633,117
ARG80_23_86,380,70,145,146,285,25
ARG80_34_97,43,45,665,489,552,9
ARG80_45_108,12,3,10,125,93,2
ARG80_56_119,419,460,480,745,178,174
ARG80_67_130,701,608,133,80,40,148
ARG80_78_141,727,878,3467,2879,4036,218
ARG80_89_152,646,688,36,127,87,265
ARG80_100_163,370,85,5963,4976,6663,103
ARG80_111_174,15,38,125,145,21,14
ARG80_114_177,146,17,68,53,5,56
ARR1_1_64,161,13,39,70,11,17
ARR1_12_75,141,31,95,280,116,67
ARR1_23_86,68,3,6,5,5,13
ARR1_34_97,88,3,36,237,78,8
ARR1_45_108,127,8,1,65,49,10
ARR1_56_119,762,105,134,409,126,307
ARR1_67_130,533,151,197,274,216,159
ARR1_78_141,1728,1424,88,258,113,776
ARR1_89_152,324,67,705,1420,1303,104
ARR1_100_163,877,108,235,438,292,163
ARR1_111_174,445,63,457,1687,828,92
ARR1_122_185,1127,612,2015,2927,3852,685
ARR1_133_196,879,293,141,380,206,423
ARR1_144_207,99,36,83,102,127,30
ARR1_155_218,14,19,8,87,9,16
ARR1_166_229,109,9,96,385,339,26
ARR1_177_240,48,3,9,27,1,2
ARR1_188_251,32,14,10,29,39,27
ARR1_199_262,147,52,44,196,193,27
ARR1_210_273,104,20,39,63,136,25
ARR1_221_284,3219,651,40,234,261,1518
ARR1_232_295,61,4,531,1402,2560,7
ARR1_231_294,410,146,68,281,154,177
ASG1_1_64,149,6,329,612,370,25
ASG1_12_75,93,9,4,280,97,25
ASG1_23_86,47,2,10,60,63,10
ASG1_34_97,118,12,26,148,105,23
ASG1_45_108,606,71,5,4,14,255
ASG1_56_119,132,36,424,546,737,8
ASG1_67_130,81,85,7,26,7,54
ASG1_78_141,27,4,2,32,30,5
ASG1_89_152,30,9,297,373,241,21
ASG1_100_163,88,19,60,83,51,13
ASG1_111_174,140,20,524,2201,2595,37
ASG1_122_185,156,26,1520,3429,3678,30
ASG1_133_196,368,18,12,49,12,88
ASG1_144_207,2441,164,56,179,226,1223
ASG1_155_218,231,19,455,2112,3397,36
ASG1_166_229,156,18,258,944,1442,35
ASG1_177_240,377,12,4,9,15,29
ASG1_188_251,278,22,39,255,106,94
ASG1_199_262,58,13,3,7,27,19
ASG1_210_273,237,33,38,72,284,39
ASG1_221_284,673,170,651,1869,2800,123
ASG1_232_295,171,8,19,310,235,39
ASG1_243_306,708,257,659,1479,1056,218
ASG1_254_317,609,157,59,310,43,180
ASG1_265_328,736,140,223,852,528,134
ASG1_276_339,1288,776,122,432,242,554
ASG1_287_350,554,115,144,349,132,121
ASG1_298_361,266,82,105,198,188,94
ASG1_309_372,257,22,28,31,6,55
ASG1_320_383,34,10,2267,4288,6278,15
ASG1_331_394,1188,185,14,55,47,613
ASG1_342_405,440,27,176,435,251,72
ASG1_353_416,512,97,794,2280,3039,177
ASG1_364_427,556,97,17,199,103,311
ASG1_375_438,529,193,220,1230,1310,225
ASG1_386_449,545,35,1295,4303,5506,162
ASG1_397_460,159,11,177,1001,1041,43
ASG1_408_471,899,270,95,293,378,330
ASG1_419_482,84,41,125,753,406,66
ASG1_430_493,69,21,10,119,82,51
ASG1_441_504,4,1,79,398,581,0
ASG1_452_515,45,5,321,3777,6061,11
ASG1_463_526,78,12,5,70,33,5
ASG1_474_537,80,19,59,519,1260,29
ASG1_485_548,191,22,66,18,7,75
ASG1_496_559,48,5,1258,5306,7426,3
ASG1_507_570,449,16,412,1471,3004,99
ASG1_518_581,102,7,19,64,27,34
ASG1_529_592,67,9,74,738,548,19
ASG1_540_603,477,101,49,170,165,246
ASG1_551_614,495,26,68,578,354,103
ASG1_562_625,12,5,5,4,3,2
ASG1_573_636,61,7,276,2114,3719,13
ASG1_584_647,152,33,62,106,467,36
ASG1_595_658,179,4,12,4,2,9
ASG1_606_669,241,17,23,297,166,86
ASG1_617_680,251,8,25,107,84,50
ASG1_628_691,345,191,114,644,852,1148
ASG1_639_702,242,14,37,279,199,51
ASG1_650_713,332,12,38,256,183,102
ASG1_661_724,453,46,435,1007,380,71
ASG1_672_735,915,89,1618,3253,2746,190
ASG1_683_746,372,27,428,1439,2005,118
ASG1_694_757,596,87,270,935,443,91
ASG1_705_768,1038,143,101,114,479,198
ASG1_716_779,9,9,55,520,129,10
ASG1_727_790,1190,99,714,2313,2703,485
ASG1_738_801,1400,269,28,311,167,635
ASG1_749_812,136,22,69,678,236,12
ASG1_760_823,180,13,18,21,30,41
ASG1_771_834,170,34,65,221,90,52
ASG1_782_845,10,5,3,9,7,6
ASG1_793_856,13,28,1,16,13,9
ASG1_804_867,0,0,1,15,14,7
ASG1_815_878,68,44,0,0,0,77
ASG1_826_889,0,0,0,0,0,0
ASG1_837_900,20,0,1,0,2,2
ASG1_848_911,0,0,0,0,0,0
ASG1_859_922,0,0,1,8,14,0
ASG1_870_933,23,0,2,93,10,1
ASG1_881_944,47,4,3,173,261,3
ASG1_892_955,208,3,23,149,43,19
ASG1_901_964,38,8,45,606,223,17
ASH1_1_64,727,161,278,704,610,192
ASH1_12_75,334,50,209,661,934,127
ASH1_23_86,400,63,64,311,217,84
ASH1_34_97,511,134,168,417,101,285
ASH1_45_108,5895,973,51,379,227,2442
ASH1_56_119,312,38,752,1853,1945,74
ASH1_67_130,172,22,1146,2222,3400,33
ASH1_78_141,327,98,183,612,395,92
ASH1_89_152,465,82,146,418,358,136
ASH1_100_163,3150,2078,266,976,736,1747
ASH1_111_174,339,51,4392,4403,6573,55
ASH1_122_185,114,46,3999,3196,6667,21
ASH1_133_196,685,250,111,675,181,157
ASH1_144_207,59,22,204,221,37,8
ASH1_155_218,28,10,2040,835,1491,6
ASH1_166_229,49,37,11,18,7,23
ASH1_177_240,4079,643,63,90,19,2314
ASH1_188_251,147,7,79,483,94,18
ASH1_199_262,76,7,12,66,33,2
ASH1_210_273,43,15,14,62,11,6
ASH1_221_284,131,1,12,137,11,38
ASH1_232_295,682,101,73,327,158,160
ASH1_243_306,2986,1254,885,1253,1983,1502
ASH1_254_317,211,23,189,306,321,40
ASH1_265_328,174,35,46,63,33,29
ASH1_276_339,87,34,50,161,104,20
ASH1_287_350,413,48,240,165,55,173
ASH1_298_361,99,5,364,1347,1800,19
ASH1_309_372,27,4,3,1,56,5
ASH1_320_383,347,2,15,191,27,27
ASH1_331_394,469,27,81,91,33,225
ASH1_342_405,152,114,1594,3615,4385,30
ASH1_353_416,100,5,13,234,55,21
ASH1_364_427,131,8,210,310,121,27
ASH1_375_438,771,194,26,52,9,294
ASH1_386_449,403,64,525,1647,530,48
ASH1_397_460,2728,5052,119,407,123,1491
ASH1_408_471,810,482,2056,2345,2141,237
ASH1_419_482,225,48,71,81,102,58
ASH1_430_493,1685,3395,5900,270,4442,973
ASH1_441_504,1041,1325,74,84,112,687
ASH1_452_515,671,369,541,368,356,197
ASH1_463_526,1089,1052,1227,936,1645,580
ASH1_474_537,196,42,114,98,79,31
ASH1_485_548,1262,1068,18,97,70,776
ASH1_496_559,165,14,86,81,19,69
ASH1_507_570,264,66,8,1,19,121
ASH1_518_581,600,90,34,118,63,303
ASH1_525_588,50,6,6,9,20,38
AZF1_1_64,155,45,1659,2443,3059,36
AZF1_12_75,2138,1522,58,71,17,1512
AZF1_23_86,307,16,40,392,75,82
AZF1_34_97,72,5,12,12,20,5
AZF1_45_108,161,17,102,273,74,28
AZF1_56_119,190,16,49,322,204,48
AZF1_67_130,3896,8182,110,457,500,2771
AZF1_78_141,1249,261,131,348,332,360
AZF1_89_152,4360,5776,163,335,452,2014
AZF1_100_163,1158,1591,20,68,42,557
